University,UG Programs,PG Programs
University of Bedfordshire,"Acting; Acting (with Foundation Year); Acting (with Professional Practice Year); Animation; Art and Design; Art and Design (with Foundation Year); Art and Design (with Professional Practice Year); Building Technology (Top-up); Computer Animation and Visual Effects; Construction Management (Top-up); Contemporary Arts Practice; Dance and Professional Practice; Dance and Professional Practice (with Foundation Year); Dance and Professional Practice (with Professional Practice Year); Dance with Exercise; English Language and Linguistics; English Language and Linguistics (with Foundation Year); English Language and Linguistics (with Professional Practice Year); English Language and Literature; English Language and TEFL; English Language and TEFL (with Foundation Year); English Literature; English Literature and TEFL; English and Theatre Studies; English and Theatre Studies (with Professional Practice Year); English and Theatre Studies with Foundation Year; Fashion Design; Fashion Design (with Foundation Year); Fashion Design (with Professional Practice Year); Graphic Design; Graphic Design (with Foundation Year); Graphic Design (with Professional Practice Year); Illustration; Interior Architecture; Interior Architecture (with Foundation Year); Interior Architecture (with Professional Practice Year); Interior Design; Interior Design (with Professional Practice Year); Music Technology; Music Technology (with Foundation Year); Music Technology (with Professional Practice Year); Performing Arts; Performing Arts (with Foundation Year); Performing Arts (with Professional Practice Year); Photography; Photography (with Foundation Year); Photography (with Professional Practice Year); Product Design; Accounting; Accounting (with Foundation Year); Accounting (with Professional Practice Year); Accounting and Finance; Accounting and Finance (with Foundation Year); Accounting and Financial Services (Top-up); Advertising and Branding Design; Advertising and Branding Design (with Foundation Year); Advertising and Branding Design (with Professional Practice Year); Advertising and Marketing Communications; Business Administration (Top-up); Business Economics; Business Management; Business Management (with Placement); Business Management with Law; Business Management with Law (with Foundation Year); Business Studies (General); Business Studies (General) (with Foundation Year); Business Studies (General) (with Professional Practice Year); Business Studies (International); Business Studies (Project Management); Business Studies (Project Management) (with Foundation Year); Business Studies (Project Management) (with Professional Practice Year); Business Studies with Finance; Business Studies with Finance (with Foundation Year); Business Studies with Finance (with Professional Practice Year); Business Studies with Marketing; Business Studies with Marketing (with Foundation Year); Business Studies with Marketing (with Professional Practice Year); Business and Management (Top-up); Creative Industries and Business Management; Event Management; Football Business; International Business; International Business (with Foundation Year); International Business (with Professional Practice Year); International Finance and Banking; International Finance and Banking with Foundation Year; Marketing; Marketing with Aviation and Airport Management; Marketing with Events Management; Marketing with Events Management (with Foundation Year); Marketing with International Tourism Management; Marketing with International Tourism Management (with Foundation Year); Marketing with International Tourism Management (with Professional Practice Year); Artificial Intelligence and Robotics; Automotive Engineering; Automotive Engineering (with Foundation Year); Automotive Engineering (with Professional Practice Year); Aviation and Airport Management; Aviation and Airport Management (with Foundation Year); Business Information Systems; Business Information Systems (with Foundation Year); Business Information Systems (with Professional Practice Year); Computer Games Development; Computer Games Development (with Foundation Year); Computer Games Development (with Professional Practice Year); Computer Networking; Computer Networking (with Foundation Year); Computer Networking (with Professional Practice Year); Computer Science; Computer Science (with Foundation Year); Computer Science (with Professional Practice Year); Computer Systems Engineering; Computer Systems Engineering (with Foundation Year); Computer Systems Engineering (with Professional Practice Year); Cybersecurity; Electronic Engineering; Electronic Engineering (with Foundation Year); Electronic Engineering (with Professional Practice Year); Information Technology; Information Technology (with Foundation Year); Information Technology (with Professional Practice Year); Information and Data Systems; Information and Data Systems (with Professional Practice Year); Mechanical Engineering; Mechanical Engineering (with Foundation Year); Software Engineering; Software Engineering (with Foundation Year); Software Engineering (with Professional Practice Year); Telecommunications and Network Engineering; Telecommunications and Network Engineering (with Foundation Year); Telecommunications and Network Engineering (with Professional Practice Year); Behavioural Science and Health; Biochemistry; Biochemistry (with Foundation Year); Biochemistry (with Professional Practice Year); Biological Science; Biomedical Science; Clinical Exercise Science; Clinical Exercise Science (with Foundation Year); Clinical Exercise Science (with Professional Practice Year); Clinical Exercise Therapy; Food and Nutrition Science; Food and Nutrition Science (with Foundation Year); Forensic Science; Forensic Science (with Foundation Year); Forensic Science (with Professional Practice Year); Forensic Science and Criminology; Health Care Practice (Top-up); Health Psychology; Health Psychology (with Foundation Year); Health Psychology (with Professional Practice Year); Health and Social Care; Health and Social Care (with Foundation Year); Health and Social Care (with Professional Practice Year); Health and Social Care Practice (Top-up); Health and Social Care Practice (Top-up); Health, Nutrition and Exercise; Health, Nutrition and Exercise (with Foundation Year); Health, Nutrition and Exercise (with Professional Practice Year); Human Bioscience and Enterprise; Midwifery: Registered Midwife; Midwifery: Registered Midwife (2nd Registration); Nursing with Registered Nurse: Adult; Nursing with Registered Nurse: Child; Nursing with Registered Nurse: Mental Health; Operating Department Practice; Paramedic Science; Pharmaceutical and Chemical Sciences; Pharmacology and Health Science; Psychology; Psychology (Top-up); Psychology (with Foundation Year); Psychology (with Professional Practice Year); Psychology and Crime; Psychology and Criminal Behaviour; Psychology and Criminal Behaviour (Top-up); Psychology and Criminal Behaviour (with Foundation Year); Psychology and Criminal Behaviour (with Professional Practice Year); Psychology and Criminology; Psychology and Criminology (with Professional Practice Year); Psychology and Criminology with Foundation Year; Psychology, Counselling and Therapies; Psychology, Counselling and Therapies (with Foundation Year); Psychology, Counselling and Therapies (with Professional Practice Year); Environmental Health Science; Applied Early Years Studies (Top-up); Applied Education Studies (Daytime Delivery); Applied Education Studies (Evening Delivery); Applied Personal Training and Specialist Exercise Instruction (Top-up); Applied Special Educational Needs and Disability (Top-up); Applied Sport Science and Coaching (Top-up); Applied Sport and Physical Education (Top-up); Broadcast Journalism; Broadcast Journalism (with Foundation Year); Broadcast Journalism (with Professional Practice Year); Child and Adolescent Studies; Child and Adolescent Studies (with Professional Practice Year); Communication and Reputation Management; Creative Writing; Creative Writing and Journalism; Creative Writing and Journalism (with Foundation Year); Creative Writing and Journalism (with Professional Practice Year); Criminology; Criminology (with Foundation Year); Criminology (with Professional Practice Year); Criminology and Sociology; Criminology and Sociology (with Professional Practice Year); Early Childhood Education; Early Childhood Education (with Foundation Year); Early Childhood Education (with Professional Practice Year); Early Years Education; Early Years and English Language Teaching; Economics and Finance; Economics and Finance (with Foundation Year); Education Studies; Education Studies (with Foundation Year); Education Studies (with Professional Practice Year); Education Studies and English; Education Studies and English (with Foundation Year); Education Studies and English (with Professional Practice Year); Education and TEFL; Education with Psychology; Educational Practice; Film Production; Film Production (with Professional Practice Year); Film and Television Production; Food Science, Technology and Management; Football Coaching; Football Development; Football Science; Football Studies; Football Studies (with Foundation Year); Football Studies (with Professional Practice Year); Human Resource Management; Human Resource Management (with Foundation Year); Human Resource Management (with Placement Year); Human Resource Management (with Placement Year) (with Foundation Year); Human Resource Management (with placement) (Accredited); Human Resources Management with Law; International Tourism Management; International Tourism with Events Management; International Tourism with Hospitality Management; Journalism; Journalism (with Foundation Year); Journalism (with Placement); Journalism (with Placement) (with Professional Practice Year); Journalism (with Professional Practice Year); Law; Law with Criminology; Law with Financial Management; Law with Psychology; Law with Psychology (with Foundation Year); Media Communications; Media Communications (with Foundation Year); Media Communications (with Professional Practice Year); Media Performance for Film, TV and Theatre; Media Performance for Film, TV and Theatre (with Professional Practice Year); Media Production; Media Production (with Professional Practice Year); Media Production with Foundation Year; Media, Marketing and Public Relations; Policing and Criminal Investigation; Primary Education (with QTS); Professional Policing; Radio and Audio; Radio and Audio (with Professional Practice Year); Social Studies; Social Studies (with Professional Practice Year); Social Work; Special Needs and Inclusive Education; Special Needs and Inclusive Education (with Foundation Year); Special Needs and Inclusive Education (with Professional Practice Year); Sport Journalism; Sport Journalism (with Foundation Year); Sport Journalism (with Professional Practice Year); Sport Science and Coaching; Sport Science and Coaching (with Foundation Year); Sport Science and Coaching (with Professional Practice Year); Sport Science and Personal Training; Sport Science and Personal Training (with Foundation Year); Sport Science and Personal Training (with Professional Practice Year); Sport and Exercise Science; Sport and Exercise Science (with Foundation Year); Sport and Exercise Science (with Professional Practice Year); Sport and Physical Education; Sport and Physical Education (with Foundation Year); Sport and Physical Education (with Professional Practice Year); Sports TV Production; Sports Therapy and Rehabilitation; Strength and Conditioning; Strength and Conditioning (with Foundation Year); Strength and Conditioning (with Professional Practice Year); Television Production; Television Production (with Professional Practice Year); Travel, Aviation and Tourism Management; Writing for Media","Applied Linguistics (Taught); Applied Linguistics (Teaching English as a Foreign Language) (Taught); Art and Design (Taught); Art and Design with Data Analytics (Taught); Art and Design with Project Management (Taught); Dance Performance and Choreography (Taught); English Literature (Taught); Sensors and Smart Cities (Taught); Accounting and Business Finance (Taught); Accounting and Business Finance with Data Analytics (Taught); Digital Marketing (Taught); Events Management (Taught); Financial Economics (Taught); Financial Risk Management (Taught); International Business (Taught); International Business (with Placement) (Taught); International Business with Aviation Management (Taught); International Business with Data Analytics (Taught); International Business with Law (Taught); International Business with Tourism Management (Taught); International Finance and Banking (Taught); Management (Taught); Marketing (Taught); Project Management (Taught); Project Management with Data Analytics (Taught); Applied Computing and Information Technology (15 months) (Taught); Applied Computing and Information Technology (Taught); Applied Computing and Information Technology with Project Management (Taught); Automotive Engineering for Electric Vehicles (Taught); Business Information Systems (Taught); Computer Networking (Taught); Computer Networking with Project Management (Taught); Computer Science (Taught); Computer Science with Placement (22 months) (Taught); Computer Science with Placement (Taught); Computer Science with Project Management (Taught); Computer Security and Forensics (15 months) (Taught); Computer Security and Forensics (Taught); Cyber Security (Taught); Cyber Security with Project Management (Taught); Electronic Engineering (Taught); Electronic Engineering with Placement (22 months) (Taught); Electronic Engineering with Placement (Taught); Electronic Engineering with Project Management (Taught); Information Systems Management (Taught); Mechanical Engineering (Taught); Software Engineering and Applications (Taught); Software Engineering and Applications with Project Management (Taught); Advanced Clinical Practice (Midwifery) (Taught); Advanced Clinical Practice (Nursing) (Taught); Advanced Clinical Practice (Paramedic Science) (Taught); Applied Psychology (Conversion) (Taught); Biomedical Engineering (Taught); Biotechnology (Taught); Biotechnology with Data Analytics (Taught); Biotechnology with Project Management (Taught); Clinical Exercise Physiology (Taught); Dance Science (Taught); Family and Systemic Psychotherapy (Taught); Food Security in Public Health (Taught); Forensic Analysis (Taught); Forensic Psychology (Taught); Health Psychology (Taught); Microbiology in Public Health (15 months) (Taught); Microbiology in Public Health (Taught); Nursing with Registration (Adult) (Taught); Nursing with Registration (Mental Health) (Taught); Pharmacology (15 months) (Taught); Pharmacology (Taught); Pharmacology with Data Analytics (Taught); Pharmacology with Project Management (Taught); Physical Activity, Nutrition and Behaviour Change (Taught); Public Health (Taught); Public Health (Taught); Specialist Community Public Health Nursing (Health Visiting) (Taught); Specialist Community Public Health Nursing (School Nursing) (Taught); Specialist Practitioner Community District Nursing (Taught); Environmental Management (15 months) (Taught); Environmental Management (Taught); Sustainable Management (Taught); Applied Social Work (Practice Education) (Taught); Applied Social Work Practice (Children and Families) (Taught); Applied Social Work Practice (Leadership and Management) (Taught); Childhood and Youth (Applied Perspectives) (Taught); Creative Digital Film Production (Taught); Criminology (Taught); Dental Education (Taught); Dental Law and Ethics (Taught); Education (Early Years) (Taught); Education (Early Years) (Taught); Education (Leadership) (Taught); Education (Leadership) (Taught); Education (Practice) (Taught); Education (Social Justice) (Taught); Education (Special Educational Needs) (Taught); Education (Taught); English Language Teaching (Leadership and Management) (Taught); Human Resource Management (9 months) (Taught); Human Resource Management (Taught); Human Rights and Social Enterprise (Taught); International Business Law (Taught); International Commercial Dispute Resolution Law (Taught); International Education (Leadership and Administration) (Taught); International Human Resource Management (Taught); International Journalism (Taught); International Journalism with Data Analytics (Taught); International Journalism with Project Management (Taught); International Oil and Gas Law (Taught); International Relations Management (Taught); International Social Welfare and Social Development (Taught); International Tourism Planning and Management (Taught); Mass Communications (Taught); Mass Communications with Data Analytics (Taught); Mass Communications with Project Management (Taught); Medical Education (Taught); Physical Education and Sport Pedagogy (Taught); Purchasing Logistics and Supply Chain Management with Data Analytics (Taught); Purchasing, Logistics and Supply Chain Management (Taught); Screen Performance and Communication Techniques (Taught); Social Work (Taught); Sport and Physical Activity (Leadership and Management) (Taught); Strength and Conditioning (Taught); Telecommunications Management (Taught); Television Production (Taught)"
University at Buffalo SUNY,,
Wofford College,,
ESIGELEC Ecole d'ingénieurs généralistes ,,
Institut National des Sciences Appliquées de Lyon (INSA),,
University of Music and Performing Arts Vienna  ,,
Selcuk University,,
"Hochschule Furtwangen - Informatik, Technik, Wirtschaft, Medien",,
Sang Ji University ,,
The Hang Seng University of Hong Kong,,
Dnipro University of Technology,,
DigiPen Institute of Technology,,
University of Joensuu,,
Université du Littoral Côte d'Opale ,,
"Department of Accounting, Finance and Economics",,
Polytechnic University,,
American University of Sharjah,,
Faculty of Engineering - University of Leeds,,
Tallinn University of Technology (TalTech),BA in International Business Administration; BA in Law; BSc in Cyber Security Engineering; BSc in Integrated Engineering,"MA in International Business Administration; MA in Law; MA in Technology Governance and Digital Transformation; MBA Entrepreneurial Management; MSc in Design and Technology Futures; MSc in Environmental Engineering and Management; MSc in Industrial Engineering and Management; MSc in Materials and Processes of Sustainable Energetics; MSc in Mechatronics; MSc in Technology of Wood, Plastics and Textiles; MSc in Communicative Electronics; MSc in Computer and Systems Engineering; MSc in Cyber Security; MSc in Health Care Technology; MSc in e-Governance Technologies and Services; MSc in Applied Physics"
Fo Guang University (Buddha's Light University),,
Logistics Packs,,
Akhbar El Yom Academy,,
Yildiz Technical University,,
Dr. Babasaheb Ambedkar Marathwada University,,
UQ Business School,,
Jagiellonian University,,
North Central College,,
Pancasila University,,
Universidad Nacional Agraria la Molina,,
John Carroll University,,
Vishwakarma Institute of Technology,,
Colorado College,,
Universidad de Carabobo,,
University College Cork,"Archaeology - Arts (BA (Hons)); Architecture (Joint Programme with MTU) (BSc (Hons)); Arts (BA (Hons)); Arts (International) (BA (Hons)); Arts - Music (BA (Hons)); Asian Studies - Arts (BA (Hons)); Celtic Civilisation - Arts (BA (Hons)); Chinese Studies - Arts (BA (Hons)); Digital Humanities & Information Technology (BA (Hons)); English (BA (Hons)); English - Arts (BA (Hons)); European Studies - Arts (BA (Hons)); Folklore - Arts (BA (Hons)); French - Arts (BA (Hons)); Gaeilge / Irish - Arts (BA (Hons)); Geography - Arts (BA (Hons)); German - Arts (BA (Hons)); Greek & Roman Civilisation - Arts (BA (Hons)); Greek - Arts (BA (Hons)); History - Arts (BA (Hons)); History of Art - Arts (BA (Hons)); Italian - Arts (BA (Hons)); Latin - Arts (BA (Hons)); Philosophy - Arts (BA (Hons)); Portuguese - Arts (BA (Hons)); Spanish - Arts (BA (Hons)); Studies in Music - Arts (BA (Hons)); Theatre & Performative Practices (BA (Hons)); World Languages (BA (Hons)); Accounting (BSc (Hons)); Business Information Systems (BSc (Hons)); Business and Financial Economics - International Direct Entry (BA (Hons)); Commerce (BComm (Hons)); Data Science & Analytics (BSc (Hons)); Finance (BSc (Hons)); Food Marketing & Entrepreneurship (BSc (Hons)); International Business with Languages (BSc (Hons)); Civil, Structural & Environmental Engineering (BE (Hons)); Computer Science (BSc (Hons)); Computer Science - Arts (BA (Hons)); Electrical & Electronic Engineering (BE (Hons)); Energy Engineering (BE (Hons)); Engineering (BE (Hons)); Process and Chemical Engineering (BE (Hons)); Agricultural Science (BAgrSc (Hons)); Anthropology (BA (Hons)); Applied Plant Biology (BSc (Hons)); Applied Psychology (BA (Hons)); Biochemistry (BSc (Hons)); Biological & Chemical Sciences (BSc (Hons)); Biological, Earth & Environmental Sciences (BSc (Hons)); Biomedical Science (Joint Programme with MTU) (BSc (Hons)); Biotechnology (BSc (Hons)); Dentistry (BDS (Hons)); General Nursing (BSc (Hons)); Genetics (BSc (Hons)); Intellectual Disability Nursing (BSc (Hons)); Medical & Health Sciences (BSc (Hons)); Medicine (Graduate Entry) (MB, BCh, BAO (Hons)); Medicine (MB, BCh, BAO (Hons)); Mental Health Nursing (BSc (Hons)); Microbiology (BSc (Hons)); Midwifery (BSc (Hons)); Neuroscience (BSc (Hons)); Nursing (Children's & General Integrated) (BSc (Hons)); Nursing Studies (BSc (Hons)); Occupational Therapy (BSc (Hons)); Paramedic Studies (BSc (Hons)); Paramedic Studies – Practitioner Entry (BSc (Hons)); Pharmacy (MPharm); Physiology (BSc (Hons)); Psychology & Computing (BA (Hons)); Speech and Language Therapy (BSc (Hons)); Studies in Psychology (available for 2017 entrants only) - Arts (BA (Hons)); Zoology (BSc (Hons)); Applied Mathematics - Arts (BA (Hons)); Astrophysics (BSc (Hons)); Chemical Physics (BSc (Hons)); Chemical Sciences (BSc (Hons)); Chemistry (BSc (Hons)); Chemistry of Pharmaceutical Compounds (BSc (Hons)); Chemistry with Forensic Science (BSc (Hons)); Ecology & Environmental Biology (BSc (Hons)); Environmental Science (BSc (Hons)); Financial Mathematics & Actuarial Science (BSc (Hons)); Food Science (BSc (Hons)); Geoscience (BSc (Hons)); Mathematical Sciences & Physics (BSc (Hons)); Mathematical Sciences (BSc (Hons)); Mathematical Sciences (Single Honours) (BSc (Hons)); Mathematical Studies - Arts (BA (Hons)); Mathematics - Arts (BA (Hons)); Nutritional Sciences (BSc (Hons)); Physics & Astrophysics (BSc (Hons)); Physics (BSc (Hons)); Criminology (BA (Hons)); Early Years & Childhood Studies (BA (Hons)); Economics (through Transformational Learning) (BA (Hons)); Economics - Arts (BA (Hons)); Education Gaeilge (BEd (Hons)); Evening Law Degree (BCL (Hons)); Film & Screen Media (BA (Hons)); Government & Political Science (BSc (Hons)); International Development (BSc (Hons)); Law & Business (BCL (Hons)); Law & French (BCL (Hons)); Law & Irish (BCL (Hons)); Law (Clinical) (BCL (Hons)); Law (International) (BCL (Hons)); Law (Pathways) (BCL (Hons)); Physical Education, Sports Studies & Arts (BEd (Hons)); Politics - Arts (BA (Hons)); Public Health Sciences (BSc (Hons)); Religions and Global Diversity - Arts (BA (Hons)); Science Education (BEd (Hons)); Social Science (BSocSc (Hons)); Social Work (BSW (Hons)); Sociology - Arts (BA (Hons)); Youth & Community Work (BSocSc (Hons))","Archaeology - Archaeological Excavation (MA); Archaeology - Human Osteoarchaeology (MA); Architecture (Joint Programme with MTU) (MArch); Art History - Modern & Contemporary Art History, Theory & Criticism (MA); Arts Management & Creative Producing (MA); Asian Studies (MA); Celtic Civilisation (MA); Classical Studies (MA); Digital Arts & Humanities (MA); English - Irish Writing & Film (MA); English - Modernities: Literature, Theory & Culture from the Romantics to the Present (MA); English – Texts & Contexts: Medieval to Renaissance (MA); Experimental Sound Practice (MA); Gaelic Literature & Culture (Online) (MA); Geoinformatics (MSc); Global Cultures & Languages (MA); Global Gallery Studies (MA); Health & Society (MA); History (MA); History - Local History (MA); History - The Irish Revolution 1912-1923 (MA); Irish - Early & Medieval Irish (MA); Irish - Modern Irish (Nua-Ghaeilge) (MA); Irish Mythology & Folklore (Online) (MA); Linguistics - Applied Linguistics (MA); Medieval History: Culture, Text, Image (MA); Museum Studies (MA); Music & Cultural History (MA); Music - Ethnomusicology (MA); Philosophy (MA); Planning & Sustainable Development (MPlan); Redesigning the Post-Industrial City (RePIC) (MSc); Strategic Studies (Online) (MA); Theatre & Performative Practices (MA); Translation Studies (MA); Accounting (MACC); Business Analytics (MSc); Business Economics (MSc); Co-operative & Social Enterprise (Online) (MSc); Cyber Risk for Business (MSc); Data Science & Analytics (MSc); Design & Development of Digital Business (MSc); Executive MBA (MBA); Finance (Banking & Risk Management) (MSc); Finance (Corporate Finance) (MSc); Finance (Investment & Asset Management) (MSc); Food Business & Innovation (MSc); Food Security Policy & Management (MSc); Information Systems for Business Performance (MSc); Management & Marketing (MSc); Management Information & Managerial Accounting Systems (MSc); Marketing (MSc); Masters Qualifying Examination (Business); Project Management (MSc); Sustainable Development, Agri-Food & Co-operatives (MSc); Computing Science (MSc); Engineering - Mechanical Engineering (Manufacturing, Process & Automation Systems) (MEngSc); Engineering - Pharmaceutical & Biopharmaceutical Engineering (MEngSc); Engineering – Electrical & Electronic Engineering (MEngSc); Engineering – Sustainable Energy (MEngSc); Interactive Media (MSc); Anthropology (MA); Audiology (MSc); Beginnings of Irish Christianity (The) (MA); Biochemistry & Biosciences (MRes); Bioinformatics & Computational Biology (MSc); Biology - Marine Biology (MSc); Biology - Molecular Cell Biology with Bioinnovation (MSc); Biotechnology (MSc); Clinical Physiology (MSc); Clinical Trials (Online) (MSc); Dementia (MSc); Dental Public Health (MDPH); Diagnostic Radiography (MSc); End of Life Healthcare Ethics (MSc); Evidence Based Therapy Practice (MSc); Healthcare Quality Improvement (Online) (MSc); Hearing, Balance & Communication (MSc); Human Anatomy (MSc); Industrial Pharmaceutical Sciences, Operations & Management (MSc); Industrial Pharmaceutics (MRes) (MRes); Infection Prevention & Control (Online) (MSc); MSc Nursing (Non-EU) (MSc); Midwifery (MSc); Mindfulness Based Wellbeing Online/Blended (MSc); Nursing - Advanced Practice (Nursing/Midwifery) (MSc); Nursing - Gerontological Nursing (PG Dip / MSc); Nursing - Intensive Care Nursing (PG Dip / MSc); Nursing - Neonatology Nursing (PG Dip / MSc); Nursing - Oncology (PG Dip / MSc); Nursing - Specialist Mental Health Nursing Practice (PG Dip / MSc); Nursing - Trauma & Emergency Nursing (PG Dip / MSc); Nursing Studies (Direct Entry Year 2) (MSc); Nursing Studies (Year 1) (MSc); Obstetrics and Gynaecology (MSc); Occupational Health (MSc); Occupational Health (Online) (MSc); Older Person Rehabilitation (MSc); Pharmaceutical Technology & Quality Systems (MSc); Pharmacy - Clinical Pharmacy (Online) (MSc); Physiotherapy (MSc); Psychology - Applied Psychology (MA); Psychology - Applied Psychology (Mental Health) (MA); Psychology - Applied Psychology (Positive & Coaching Psychology) (MA); Psychology – Work & Organisational Psychology/Behaviour (MA); Radiation Therapy (MSc); Sports & Exercise Medicine (MMedSc); Surgical Science (MCh); Actuarial Science (MSc); Applied Coastal & Marine Management (MSc); Chemistry - Analysis of Pharmaceutical Compounds (MSc); Chemistry - Analytical Chemistry (MSc); Chemistry - Environmental Analytical Chemistry (MSc); Financial & Computational Mathematics (MSc); Food Microbiology (MSc); Food Science (MSc); Freshwater Quality Monitoring & Assessment (Online) (MSc); Geology - Applied Environmental Geoscience (MSc); Geology - Exploration Field Geology (MSc); Human Nutrition & Dietetics (MSc); Mathematical Modelling & Machine Learning (MSc); Sustainability in Enterprise (Online) (PGCert / MSc); Advanced Fieldwork Practice and Supervision [Social Work] (MA); Chinese - Teaching Chinese to Speakers of Other Languages (MA); Creative Writing (MA); Criminology (MA); Digital Cultures (Online) (MA); Education (MEd (Modular)); Education - Professional Master of Education (Secondary School/Post-Primary Teacher Training) (PME); Film & Screen Media (MA); Government & Politics (MSc); Human Resource Management (MSc); International Public Policy & Diplomacy (MSc); International Relations (MA); Irish Language & European Law (MA); Law (Marine & Maritime Law) (LLM); Law LLB (LLB) (Law Graduates); Law LLB (LLB) (Non-Law Graduates); Law LLM (Business Law) (LLM); Law LLM (Children's Rights & Family Law) (LLM); Law LLM (Environmental & Natural Resources Law) (LLM); Law LLM (Intellectual Property & E-Law) (LLM); Law LLM (International Human Rights Law & Public Policy) (LLM); Law LLM (LLM); Personal & Management Coaching (MSc); Professional Master of Education (Art & Design) (Jointly offered with MTU-CCAD) (PME); Public Health (MPH); Public Health (Online) (MPH); Social Policy (MSocSc); Social Work (MSW); Sociology (MA); Sociology of Sustainability & Global Challenges (MA); Teaching & Learning in Higher Education - Third Level Education (MA); Voluntary & Community Sector Management (MSocSc); Women's Studies (MA); Youth Arts and Sports Education (MSocSc)"
