University,Year,Rank
Medizinische Hochschule Hannover,2020 #151,#151
Medizinische Hochschule Hannover,2020 #201-250,#201-250
Medizinische Hochschule Hannover,2020 #151-200,#151-200
Medizinische Hochschule Hannover,2021 #151-200,#151-200
Medizinische Hochschule Hannover,2021 #=157,#=157
Medizinische Hochschule Hannover,2021 #201-250,#201-250
Medizinische Hochschule Hannover,2022 #=182,#=182
Medizinische Hochschule Hannover,2022 #51-100,#51-100
Medizinische Hochschule Hannover,2022 #301-350,#301-350
Medizinische Hochschule Hannover,2022 #151-200,#151-200
Medizinische Hochschule Hannover,2023 #193,#193
Medizinische Hochschule Hannover,2023 #101-150,#101-150
Medizinische Hochschule Hannover,2023 #301-350,#301-350
Medizinische Hochschule Hannover,2023 #151-200,#151-200
Parsons School of Design at The New School,2015 #2,#2
Parsons School of Design at The New School,2016 #4,#4
Parsons School of Design at The New School,2017 #3,#3
Parsons School of Design at The New School,2018 #2,#2
Parsons School of Design at The New School,2019 #3,#3
Parsons School of Design at The New School,2020 #3,#3
Parsons School of Design at The New School,2021 #3,#3
Parsons School of Design at The New School,2023 #4,#4
Voronezh State Technical University,2021 #351-400,#351-400
Voronezh State Technical University,2022 #401-450,#401-450
École Centrale de Lille,2019 #451-500,#451-500
École Centrale de Lille,2020 #451-500,#451-500
École Centrale de Lille,2022 #501-520,#501-520
École Centrale de Lille,2022 #401-450,#401-450
École Centrale de Lille,2022 #401-450,#401-450
École Centrale de Lille,2022 #351-400,#351-400
École Centrale de Lille,2023 #451-500,#451-500
École Centrale de Lille,2023 #501-550,#501-550
École Centrale de Lille,2023 #451-500,#451-500
École Centrale de Lille,2023 #401-450,#401-450
Nanhua University,2023 #=294,#=294
Nanhua University,2024 #=307,#=307
SGH Warsaw School of Economics,2017 #451-500,#451-500
SGH Warsaw School of Economics,2017 #251-300,#251-300
SGH Warsaw School of Economics,2018 #251-300,#251-300
SGH Warsaw School of Economics,2018 #251-300,#251-300
SGH Warsaw School of Economics,2018 #451-500,#451-500
SGH Warsaw School of Economics,2019 #301-350,#301-350
SGH Warsaw School of Economics,2019 #251-300,#251-300
SGH Warsaw School of Economics,2020 #301-350,#301-350
SGH Warsaw School of Economics,2020 #301-350,#301-350
SGH Warsaw School of Economics,2021 #301-350,#301-350
SGH Warsaw School of Economics,2021 #301-350,#301-350
SGH Warsaw School of Economics,2021 #251-300,#251-300
SGH Warsaw School of Economics,2022 #501-520,#501-520
SGH Warsaw School of Economics,2022 #251-300,#251-300
SGH Warsaw School of Economics,2022 #301-350,#301-350
SGH Warsaw School of Economics,2022 #301-350,#301-350
SGH Warsaw School of Economics,2023 #501-530,#501-530
SGH Warsaw School of Economics,2023 #251-300,#251-300
SGH Warsaw School of Economics,2023 #351-400,#351-400
SGH Warsaw School of Economics,2023 #301-350,#301-350
University of Palermo,2017 #701+,#701+
University of Palermo,2018 #801-1000,#801-1000
University of Palermo,2019 #801-1000,#801-1000
University of Palermo,2020 #801-1000,#801-1000
University of Palermo,2021 #801-1000,#801-1000
University of Palermo,2022 #801-1000,#801-1000
University of Palermo,2023 #1001-1200,#1001-1200
University of Palermo,2024 #851-900,#851-900
Dalhousie University Business School,2012 #243,#243
Dalhousie University Business School,2014 #=244,#=244
Dalhousie University Business School,2015 #=235,#=235
Dalhousie University Business School,2016 #=277,#=277
Dalhousie University Business School,2017 #=283,#=283
Dalhousie University Business School,2018 #=279,#=279
Dalhousie University Business School,2019 #=279,#=279
Dalhousie University Business School,2020 #280,#280
Dalhousie University Business School,2021 #291,#291
Dalhousie University Business School,2022 #=272,#=272
Dalhousie University Business School,2023 #=308,#=308
Dalhousie University Business School,2024 #298,#298
Moscow State University of Food Production,2020 #=199,#=199
Moscow State University of Food Production,2021 #195,#195
Moscow State University of Food Production,2022 #=200,#=200
China University of Geosciences,2021 #571-580,#571-580
China University of Geosciences,2022 #521-530,#521-530
China University of Geosciences,2023 #651-700,#651-700
China University of Geosciences,2024 #801-850,#801-850
Tokyo University of Agriculture and Technology ,2012 #451- 500,#451- 500
Tokyo University of Agriculture and Technology ,2014 #551-600,#551-600
Tokyo University of Agriculture and Technology ,2015 #601-650,#601-650
Tokyo University of Agriculture and Technology ,2016 #551-600,#551-600
Tokyo University of Agriculture and Technology ,2017 #551-600,#551-600
Tokyo University of Agriculture and Technology ,2018 #551-600,#551-600
Tokyo University of Agriculture and Technology ,2019 #571-580,#571-580
Tokyo University of Agriculture and Technology ,2020 #601-650,#601-650
Tokyo University of Agriculture and Technology ,2021 #601-650,#601-650
Tokyo University of Agriculture and Technology ,2022 #601-650,#601-650
Tokyo University of Agriculture and Technology ,2023 #701-750,#701-750
Tokyo University of Agriculture and Technology ,2024 #801-850,#801-850
Lahore Garrison University,2022 #651+,#651+
Lahore Garrison University,2023 #701-750,#701-750
University of Miami,2012 #231,#231
University of Miami,2014 #232,#232
University of Miami,2015 #239,#239
University of Miami,2016 #280,#280
University of Miami,2017 #=252,#=252
University of Miami,2018 #252,#252
University of Miami,2019 #=242,#=242
University of Miami,2020 #271,#271
University of Miami,2021 #291,#291
University of Miami,2022 #=311,#=311
University of Miami,2023 #=296,#=296
University of Miami,2024 #=278,#=278
University of Silesia in Katowice,2019 #801-1000,#801-1000
University of Silesia in Katowice,2020 #801-1000,#801-1000
University of Silesia in Katowice,2021 #1001+,#1001+
University of Silesia in Katowice,2022 #1001-1200,#1001-1200
University of Silesia in Katowice,2023 #1201-1400,#1201-1400
University of Silesia in Katowice,2024 #1201-1400,#1201-1400
Industrial University of Tyumen (IUT),2018 #251-300,#251-300
Industrial University of Tyumen (IUT),2020 #301-350,#301-350
Industrial University of Tyumen (IUT),2021 #351-400,#351-400
Industrial University of Tyumen (IUT),2022 #401-450,#401-450
Notre Dame of Maryland University,2020 #201-250,#201-250
Notre Dame of Maryland University,2021 #251-300,#251-300
Cambridge Judge Business School,2019 #6,#6
Cambridge Judge Business School,2021 #5,#5
Cambridge Judge Business School,2022 #5,#5
Cambridge Judge Business School,2023 #6,#6
Cambridge Judge Business School,2024 #6,#6
EURECOM,2019 #551-600,#551-600
EURECOM,2021 #501-550,#501-550
EURECOM,2022 #451-500,#451-500
EURECOM,2023 #451-500,#451-500
Bina Nusantara University (BINUS),2020 #801-1000,#801-1000
Bina Nusantara University (BINUS),2021 #801-1000,#801-1000
Bina Nusantara University (BINUS),2022 #1001-1200,#1001-1200
Bina Nusantara University (BINUS),2023 #1001-1200,#1001-1200
Bina Nusantara University (BINUS),2024 #1001-1200,#1001-1200
University of Lisbon ,2012 #551- 600,#551- 600
University of Lisbon ,2014 #551-600,#551-600
University of Lisbon ,2015 #501-550,#501-550
University of Lisbon ,2016 #481-490,#481-490
University of Lisbon ,2017 #=330,#=330
University of Lisbon ,2018 #=305,#=305
University of Lisbon ,2019 #=355,#=355
University of Lisbon ,2020 #338,#338
University of Lisbon ,2021 #357,#357
University of Lisbon ,2022 #=356,#=356
University of Lisbon ,2023 #=335,#=335
University of Lisbon ,2024 #=266,#=266
Nanzan University,2019 #451-500,#451-500
Nanzan University,2022 #651+,#651+
Nanzan University,2023 #701-750,#701-750
"California Polytechnic State University, Orfalea College of Business",2019 #51+,#51+
"California Polytechnic State University, Orfalea College of Business",2020 #51+,#51+
"California Polytechnic State University, Orfalea College of Business",2021 #51+,#51+
"California Polytechnic State University, Orfalea College of Business",2022 #71-80,#71-80
"California Polytechnic State University, Orfalea College of Business",2023 #81-90,#81-90
"California Polytechnic State University, Orfalea College of Business",2024 #91-100,#91-100
Butler University,2020 #201-250,#201-250
Butler University,2021 #201-250,#201-250
Universidade de Santa Cruz do Sul,2024 #=154,#=154
Prestige Institute of Management and Research,2023 #176-200,#176-200
Texas A&M University,2012 #165,#165
Texas A&M University,2014 #153,#153
Texas A&M University,2015 #165,#165
Texas A&M University,2016 #=159,#=159
Texas A&M University,2017 #=160,#=160
Texas A&M University,2018 #=195,#=195
Texas A&M University,2019 #203,#203
Texas A&M University,2020 #189,#189
Texas A&M University,2021 #169,#169
Texas A&M University,2022 #=168,#=168
Texas A&M University,2023 #=164,#=164
Texas A&M University,2024 #=134,#=134
Conservatoire national supérieur d’art dramatique de Paris (CNSAD),2016 #51-100,#51-100
Conservatoire national supérieur d’art dramatique de Paris (CNSAD),2017 #51-100,#51-100
Saint Petersburg Electrotechnical University ETU-LETI,2021 #701-750,#701-750
Saint Petersburg Electrotechnical University ETU-LETI,2022 #701-750,#701-750
Saint Petersburg Electrotechnical University ETU-LETI,2023 #751-800,#751-800
Saint Petersburg Electrotechnical University ETU-LETI,2024 #951-1000,#951-1000
Marist College,2020 #251-300,#251-300
Marist College,2021 #301-350,#301-350
Universidad Rey Juan Carlos,2017 #701+,#701+
Universidad Rey Juan Carlos,2018 #801-1000,#801-1000
Universidad Rey Juan Carlos,2019 #801-1000,#801-1000
Universidad Rey Juan Carlos,2020 #1001+,#1001+
Universidad Rey Juan Carlos,2021 #1001+,#1001+
Universidad Rey Juan Carlos,2022 #1001-1200,#1001-1200
Universidad Rey Juan Carlos,2023 #1001-1200,#1001-1200
Universidad Rey Juan Carlos,2024 #951-1000,#951-1000
Conservatoire national supérieur d’art dramatique de Paris (CNSAD),2016 #51-100,#51-100
Conservatoire national supérieur d’art dramatique de Paris (CNSAD),2017 #51-100,#51-100
Pohang University of Science And Technology (POSTECH),2012 #97,#97
Pohang University of Science And Technology (POSTECH),2014 #=107,#=107
Pohang University of Science And Technology (POSTECH),2015 #=86,#=86
Pohang University of Science And Technology (POSTECH),2016 #=87,#=87
Pohang University of Science And Technology (POSTECH),2017 #83,#83
Pohang University of Science And Technology (POSTECH),2018 #=71,#=71
Pohang University of Science And Technology (POSTECH),2019 #=83,#=83
Pohang University of Science And Technology (POSTECH),2020 #87,#87
Pohang University of Science And Technology (POSTECH),2021 #77,#77
Pohang University of Science And Technology (POSTECH),2022 #81,#81
Pohang University of Science And Technology (POSTECH),2023 #71,#71
Pohang University of Science And Technology (POSTECH),2024 #=100,#=100
Creighton University,2021 #551-600,#551-600
Creighton University,2022 #551-600,#551-600
Creighton University,2023 #601-650,#601-650
"Vietnam National University, Hanoi ",2019 #801-1000,#801-1000
"Vietnam National University, Hanoi ",2020 #801-1000,#801-1000
"Vietnam National University, Hanoi ",2021 #801-1000,#801-1000
"Vietnam National University, Hanoi ",2022 #801-1000,#801-1000
"Vietnam National University, Hanoi ",2023 #801-1000,#801-1000
"Vietnam National University, Hanoi ",2024 #951-1000,#951-1000
Universidad de La Serena,2022 #1201+,#1201+
Universidad de La Serena,2023 #1201-1400,#1201-1400
Universidad de La Serena,2024 #1401+,#1401+
Zhengzhou University,2023 #801-1000,#801-1000
Zhengzhou University,2024 #621-630,#621-630
Princeton University,2012 #9,#9
Princeton University,2014 #=10,#=10
Princeton University,2015 #9,#9
Princeton University,2016 #11,#11
Princeton University,2017 #11,#11
Princeton University,2018 #13,#13
Princeton University,2019 #13,#13
Princeton University,2020 #13,#13
Princeton University,2021 #12,#12
Princeton University,2022 #20,#20
Princeton University,2023 #=16,#=16
Princeton University,2024 #=17,#=17
Tajik National University,2023 #=20,#=20
Tajik National University,2024 #23,#23
Universidad Arturo Prat ,2024 #=192,#=192
Daejeon University ,2023 #=339,#=339
Daejeon University ,2024 #=364,#=364
Jerash Private University,2021 #131-160,#131-160
Universidad CES,2022 #651-670,#651-670
Universidad CES,2023 #651-680,#651-680
Universidad Autonoma Chapingo,2021 #801-1000,#801-1000
Universidad Autonoma Chapingo,2022 #801-1000,#801-1000
Universidad Autonoma Chapingo,2023 #751-800,#751-800
Universidad Autonoma Chapingo,2024 #1001-1200,#1001-1200
Chulalongkorn Business School,2024 #51+,#51+
D. Serikbayev East Kazakhstan Technical University,2024 #901-950,#901-950
Universidad de Occidente (UdeO),2024 #=67,#=67
Trinity Laban Conservatoire of Music and Dance,2016 #=48,#=48
Trinity Laban Conservatoire of Music and Dance,2019 #51-100,#51-100
Trinity Laban Conservatoire of Music and Dance,2020 #51-100,#51-100
Trinity Laban Conservatoire of Music and Dance,2021 #51-100,#51-100
Trinity Laban Conservatoire of Music and Dance,2022 #26,#26
Trinity Laban Conservatoire of Music and Dance,2023 #17,#17
Johannes Gutenberg Universität Mainz,2012 #316,#316
Johannes Gutenberg Universität Mainz,2014 #297,#297
Johannes Gutenberg Universität Mainz,2015 #=300,#=300
Johannes Gutenberg Universität Mainz,2016 #375,#375
Johannes Gutenberg Universität Mainz,2017 #401-410,#401-410
Johannes Gutenberg Universität Mainz,2018 #=398,#=398
Johannes Gutenberg Universität Mainz,2019 #=407,#=407
Johannes Gutenberg Universität Mainz,2020 #410,#410
Johannes Gutenberg Universität Mainz,2021 #403,#403
Johannes Gutenberg Universität Mainz,2022 #=427,#=427
Johannes Gutenberg Universität Mainz,2023 #=420,#=420
Johannes Gutenberg Universität Mainz,2024 #464,#464
Ryukoku University ,2019 #451-500,#451-500
Ryukoku University ,2021 #601+,#601+
Ryukoku University ,2022 #601-650,#601-650
Ryukoku University ,2023 #651-700,#651-700
National Technical University of Ukraine ,2012 #601+,#601+
National Technical University of Ukraine ,2014 #601-650,#601-650
National Technical University of Ukraine ,2015 #551-600,#551-600
National Technical University of Ukraine ,2016 #601-650,#601-650
National Technical University of Ukraine ,2017 #551-600,#551-600
National Technical University of Ukraine ,2018 #501-550,#501-550
National Technical University of Ukraine ,2019 #601-650,#601-650
National Technical University of Ukraine ,2020 #701-750,#701-750
National Technical University of Ukraine ,2021 #701-750,#701-750
National Technical University of Ukraine ,2022 #701-750,#701-750
National Technical University of Ukraine ,2023 #701-750,#701-750
National Technical University of Ukraine ,2024 #731-740,#731-740
University of Southeastern Philippines,2013 #251-300,#251-300
Siena College,2020 #251-300,#251-300
Nanjing University of Aeronautics and Astronautics,2022 #801-1000,#801-1000
Nanjing University of Aeronautics and Astronautics,2023 #801-1000,#801-1000
Nanjing University of Aeronautics and Astronautics,2024 #801-850,#801-850
Drake University,2020 #201-250,#201-250
Okayama University,2012 #451- 500,#451- 500
Okayama University,2014 #501-550,#501-550
Okayama University,2015 #501-550,#501-550
Okayama University,2016 #551-600,#551-600
Okayama University,2017 #501-550,#501-550
Okayama University,2018 #501-550,#501-550
Okayama University,2019 #511-520,#511-520
Okayama University,2020 #561-570,#561-570
Okayama University,2021 #571-580,#571-580
Okayama University,2022 #581-590,#581-590
Okayama University,2023 #601-650,#601-650
Okayama University,2024 #901-950,#901-950
University of Bucharest,2012 #601+,#601+
University of Bucharest,2014 # 701+,# 701+
University of Bucharest,2015 #651-700,#651-700
University of Bucharest,2016 #651-700,#651-700
University of Bucharest,2017 #701+,#701+
University of Bucharest,2018 #701-750,#701-750
University of Bucharest,2019 #801-1000,#801-1000
University of Bucharest,2020 #801-1000,#801-1000
University of Bucharest,2021 #801-1000,#801-1000
University of Bucharest,2022 #1001-1200,#1001-1200
University of Bucharest,2023 #1001-1200,#1001-1200
University of Bucharest,2024 #851-900,#851-900
Yuan Ze University,2022 #1001-1200,#1001-1200
Yuan Ze University,2023 #1201-1400,#1201-1400
Yuan Ze University,2024 #1201-1400,#1201-1400
Universidad de Sevilla,2012 #551- 600,#551- 600
Universidad de Sevilla,2014 #551-600,#551-600
Universidad de Sevilla,2015 #501-550,#501-550
Universidad de Sevilla,2016 #501-550,#501-550
Universidad de Sevilla,2017 #601-650,#601-650
Universidad de Sevilla,2018 #601-650,#601-650
Universidad de Sevilla,2019 #601-650,#601-650
Universidad de Sevilla,2020 #601-650,#601-650
Universidad de Sevilla,2021 #581-590,#581-590
Universidad de Sevilla,2022 #551-560,#551-560
Universidad de Sevilla,2023 #561-570,#561-570
Universidad de Sevilla,2024 #=494,#=494
Islamia College Peshawar,2023 #=160,#=160
Islamia College Peshawar,2024 #=219,#=219
University of Greenwich,2014 # 701+,# 701+
University of Greenwich,2015 # 701+,# 701+
University of Greenwich,2016 #701+,#701+
University of Greenwich,2017 #701+,#701+
University of Greenwich,2018 #801-1000,#801-1000
University of Greenwich,2019 #701-750,#701-750
University of Greenwich,2020 #701-750,#701-750
University of Greenwich,2021 #701-750,#701-750
University of Greenwich,2022 #751-800,#751-800
University of Greenwich,2023 #801-1000,#801-1000
University of Greenwich,2024 #671-680,#671-680
Swedish University of Agricultural Sciences ,2013 #151-200,#151-200
Swedish University of Agricultural Sciences ,2013 #40,#40
Swedish University of Agricultural Sciences ,2014 #=41,#=41
Swedish University of Agricultural Sciences ,2015 #10,#10
Swedish University of Agricultural Sciences ,2015 #301-400,#301-400
Swedish University of Agricultural Sciences ,2015 #201-250,#201-250
Swedish University of Agricultural Sciences ,2015 #=43,#=43
Swedish University of Agricultural Sciences ,2016 #7,#7
Swedish University of Agricultural Sciences ,2016 #301-400,#301-400
Swedish University of Agricultural Sciences ,2016 #151-200,#151-200
Swedish University of Agricultural Sciences ,2016 #30,#30
Swedish University of Agricultural Sciences ,2017 #101-150,#101-150
Swedish University of Agricultural Sciences ,2017 #=287,#=287
Swedish University of Agricultural Sciences ,2017 #28,#28
Swedish University of Agricultural Sciences ,2017 #251-300,#251-300
Swedish University of Agricultural Sciences ,2017 #4,#4
Swedish University of Agricultural Sciences ,2018 #4,#4
Swedish University of Agricultural Sciences ,2018 #301-350,#301-350
Swedish University of Agricultural Sciences ,2018 #101-150,#101-150
Swedish University of Agricultural Sciences ,2018 #21,#21
Swedish University of Agricultural Sciences ,2018 #=325,#=325
Swedish University of Agricultural Sciences ,2019 #=273,#=273
Swedish University of Agricultural Sciences ,2019 #22,#22
Swedish University of Agricultural Sciences ,2019 #51-100,#51-100
Swedish University of Agricultural Sciences ,2019 #3,#3
Swedish University of Agricultural Sciences ,2019 #201-250,#201-250
Swedish University of Agricultural Sciences ,2020 #3,#3
Swedish University of Agricultural Sciences ,2020 #251-300,#251-300
Swedish University of Agricultural Sciences ,2020 #51-100,#51-100
Swedish University of Agricultural Sciences ,2020 #27,#27
Swedish University of Agricultural Sciences ,2020 #255,#255
Swedish University of Agricultural Sciences ,2021 #=31,#=31
Swedish University of Agricultural Sciences ,2021 #=248,#=248
Swedish University of Agricultural Sciences ,2021 #=67,#=67
Swedish University of Agricultural Sciences ,2021 #251-300,#251-300
Swedish University of Agricultural Sciences ,2021 #3,#3
Swedish University of Agricultural Sciences ,2022 #=197,#=197
Swedish University of Agricultural Sciences ,2022 #3,#3
Swedish University of Agricultural Sciences ,2022 #251-300,#251-300
Swedish University of Agricultural Sciences ,2022 #=79,#=79
Swedish University of Agricultural Sciences ,2022 #=24,#=24
Swedish University of Agricultural Sciences ,2023 #236,#236
Swedish University of Agricultural Sciences ,2023 #3,#3
Swedish University of Agricultural Sciences ,2023 #201-250,#201-250
Swedish University of Agricultural Sciences ,2023 #74,#74
Swedish University of Agricultural Sciences ,2023 #25,#25
Ogarev Mordovia State University ,2016 #151-200,#151-200
Ogarev Mordovia State University ,2018 #151-160,#151-160
Ogarev Mordovia State University ,2019 #181-190,#181-190
Ogarev Mordovia State University ,2020 #201-210,#201-210
Ogarev Mordovia State University ,2021 #211-220,#211-220
Ogarev Mordovia State University ,2022 #221-230,#221-230
Manchester Metropolitan University,2014 # 701+,# 701+
Manchester Metropolitan University,2015 # 701+,# 701+
Manchester Metropolitan University,2016 #701+,#701+
Manchester Metropolitan University,2017 #701+,#701+
Manchester Metropolitan University,2018 #801-1000,#801-1000
Manchester Metropolitan University,2019 #801-1000,#801-1000
Manchester Metropolitan University,2020 #751-800,#751-800
Manchester Metropolitan University,2021 #801-1000,#801-1000
Manchester Metropolitan University,2022 #801-1000,#801-1000
Manchester Metropolitan University,2023 #801-1000,#801-1000
Manchester Metropolitan University,2024 #=590,#=590
SUNY Plattsburgh,2021 #301-350,#301-350
Asian Institute of Management,2023 #101+,#101+
Asian Institute of Management,2024 #101+,#101+
University of Stavanger,2024 #1401+,#1401+
Universidad del CEMA,2024 #=233,#=233
"Agro Institute (Agro Institute Dijon, Agro Institute Montpellier, Agro Institute Rennes - Angers)",2013 #101-150,#101-150
"Agro Institute (Agro Institute Dijon, Agro Institute Montpellier, Agro Institute Rennes - Angers)",2014 #101-150,#101-150
"Agro Institute (Agro Institute Dijon, Agro Institute Montpellier, Agro Institute Rennes - Angers)",2015 #101-150,#101-150
"Agro Institute (Agro Institute Dijon, Agro Institute Montpellier, Agro Institute Rennes - Angers)",2016 #51-100,#51-100
"Agro Institute (Agro Institute Dijon, Agro Institute Montpellier, Agro Institute Rennes - Angers)",2017 #51-100,#51-100
"Agro Institute (Agro Institute Dijon, Agro Institute Montpellier, Agro Institute Rennes - Angers)",2018 #51-100,#51-100
"Agro Institute (Agro Institute Dijon, Agro Institute Montpellier, Agro Institute Rennes - Angers)",2019 #36,#36
"Agro Institute (Agro Institute Dijon, Agro Institute Montpellier, Agro Institute Rennes - Angers)",2020 #36,#36
"Agro Institute (Agro Institute Dijon, Agro Institute Montpellier, Agro Institute Rennes - Angers)",2021 #=63,#=63
"Agro Institute (Agro Institute Dijon, Agro Institute Montpellier, Agro Institute Rennes - Angers)",2022 #25,#25
"Agro Institute (Agro Institute Dijon, Agro Institute Montpellier, Agro Institute Rennes - Angers)",2023 #29,#29
"Agro Institute (Agro Institute Dijon, Agro Institute Montpellier, Agro Institute Rennes - Angers)",2023 #401-450,#401-450
Sabaragamuwa University of Sri Lanka ,2024 #=238,#=238
Beedie School of Business,2018 #101+,#101+
Beedie School of Business,2019 #101+,#101+
Beedie School of Business,2021 #101+,#101+
Beedie School of Business,2022 #151+,#151+
Beedie School of Business,2023 #151+,#151+
Beedie School of Business,2024 #151+,#151+
HEC Montréal,2021 #18,#18
HEC Montréal,2022 #24,#24
HEC Montréal,2023 #26,#26
HEC Montréal,2024 #34,#34
King Mongkut's Institute of Technology Ladkrabang,2020 #1001+,#1001+
King Mongkut's Institute of Technology Ladkrabang,2021 #1001+,#1001+
King Mongkut's Institute of Technology Ladkrabang,2022 #1001-1200,#1001-1200
King Mongkut's Institute of Technology Ladkrabang,2023 #1201-1400,#1201-1400
King Mongkut's Institute of Technology Ladkrabang,2024 #1201-1400,#1201-1400
University of British Columbia,2012 #45,#45
University of British Columbia,2014 #49,#49
University of British Columbia,2015 #=43,#=43
University of British Columbia,2016 #50,#50
University of British Columbia,2017 #45,#45
University of British Columbia,2018 #51,#51
University of British Columbia,2019 #47,#47
University of British Columbia,2020 #51,#51
University of British Columbia,2021 #45,#45
University of British Columbia,2022 #46,#46
University of British Columbia,2023 #47,#47
University of British Columbia,2024 #=34,#=34
Tokyo City University,2023 #=314,#=314
Tokyo City University,2024 #=325,#=325
California Institute of Technology (Caltech),2012 #10,#10
California Institute of Technology (Caltech),2014 #=10,#=10
California Institute of Technology (Caltech),2015 #8,#8
California Institute of Technology (Caltech),2016 #5,#5
California Institute of Technology (Caltech),2017 #5,#5
California Institute of Technology (Caltech),2018 #4,#4
California Institute of Technology (Caltech),2019 #4,#4
California Institute of Technology (Caltech),2020 #5,#5
California Institute of Technology (Caltech),2021 #4,#4
California Institute of Technology (Caltech),2022 #6,#6
California Institute of Technology (Caltech),2023 #=6,#=6
California Institute of Technology (Caltech),2024 #15,#15
Singapore University of Technology and Design,2024 #=429,#=429
Birmingham Newman University,2024 #=161,#=161
Universidad Nacional de Mar del Plata,2014 #651-700,#651-700
Universidad Nacional de Mar del Plata,2015 # 701+,# 701+
Universidad Nacional de Mar del Plata,2016 #701+,#701+
Universidad Nacional de Mar del Plata,2017 #701+,#701+
Universidad Nacional de Mar del Plata,2018 #801-1000,#801-1000
Universidad Nacional de Mar del Plata,2019 #801-1000,#801-1000
Universidad Nacional de Mar del Plata,2020 #801-1000,#801-1000
Universidad Nacional de Mar del Plata,2021 #1001+,#1001+
Universidad Nacional de Mar del Plata,2022 #1001-1200,#1001-1200
Universidad Nacional de Mar del Plata,2023 #1201-1400,#1201-1400
Universidad Nacional de Mar del Plata,2024 #1201-1400,#1201-1400
Technische Universität Ilmenau,2019 #251-300,#251-300
Technische Universität Ilmenau,2019 #451-500,#451-500
Technische Universität Ilmenau,2020 #251-300,#251-300
Technische Universität Ilmenau,2021 #301-350,#301-350
Technische Universität Ilmenau,2022 #351-400,#351-400
Technische Universität Ilmenau,2023 #351-400,#351-400
nan,2024 #=81,#=81
"Maharaja Sayajirao University of Baroda, Vadodara",2019 #401-450,#401-450
"Maharaja Sayajirao University of Baroda, Vadodara",2020 #401-450,#401-450
