University,GPA,International Baccalaureate,SAT,ATAR,TOEFL,IELTS,ACT,GMAT,PTE Academic,GRE,Own admission test,Bachelor GPA,A-levels,Year 12 scores,Cambridge CAE Advanced,STAT,CAT
Universidad de Ibagué,,,,,,,,,,,,,,,,,
Wesley College,,,,,,,,,,,,,,,,,
Higher Normal School Mostaganem,,,,,,,,,,,50+,,,,,,
University of the Assumption,,,,,,,,,,,,,,,,,
Universidad Nacional de Trujillo,,,,,,,,,,,,,,,,,
W. P. Carey School of Business,3+,,1120+,,,,,694+,,313+,,,,,,,
Hochschule für Technik Stuttgart,,,,,,,,,,,,,,,,,
Ho Chi Minh City University of Technology (HUTECH),,,,,,,,,,,,,,,,,
National Ilan University,,,,,,,,,,,,,,,,,
Modern University for Technology and Information,,,,,,,,,,,,,,,,,
The University of Sheffield,3+,,1200+,85+,80+,6+,,580+,,,,,,,,,
Universidad de Chihuahua,,,,,,,,,,,,,,,,,
Pontifícia Universidade Católica de Campinas,,,,,,,,,,,,,,,,,
Universiti Islam Sultan Sharif Ali,,,,,,,,,,,,2.66+,160+,,,,
Applied Science Private University - Jordan,2.5+,27+,,,59+,5+,,,,,,2.7+,,,,,
tt1,,,,,,,,,,,,,,,,,
Saba University School of Medicine,2+,,,,90+,,,,,,,,,,,,
Indian Institute of Technology Hyderabad (IITH),,,,,,,,,,,,,,,,,
State Tourism and Hotel Management School (SSAT),,,,,,,,,,,,,,,,,
ESMOD,,,,,,,,,,,,,,,,,
Lehigh University,,,,,90+,7+,,,,,,,,,,,
Skidmore College,,,,,,,,,,,,,,,,,
Khulna University of Engineering and Technology,,,,,,,,,,,350+,2.75+,,18+,,,
Istanbul Şehir University,,,,,,,,,,,,,,,,,
Saint Joseph's College-New York,,,,,,,,,,,,,,,,,
Universitas Darussalam Gontor,,,,,,,,,,,,,,,,,
Rutgers University–Camden,,,,,,,,,,,,,,,,,
University of Shanghai for Science and Technology,,,,,,,,,,,,,,,,,
UNIVERSIDAD NACIONAL DE TRES DE FEBRERO,,,,,,,,,,,,,,,,,
"Academy of Economics, Law and Humanities",,,,,,,,,,,,,,,,,
Nanchang University,,,,,,,,,,,,,,,,,
Azerbaijan State Pedagogical University,,,,,,,,,,,198+,,,,,,
Max Stern Academic College of Emek Yezreel,,,,,,,,,,,,,,,,,
World University of Bangladesh (WUB),,,,,,,,,,,,,,,,,
EIT InnoEnergy Master School,,,,,,,,,,,,,,,,,
Heller School for Social Policy and Management,,,,,,,,,,,,,,,,,
The Hubert Kairuki Memorial University,,,,,,,,,,,,,,,,,
Michigan Ross School of Business,3+,,1380+,,,,,680+,,320+,,,,,,,
Amsterdam Business School,7+,,,85+,92+,6+,,630+,,,,,,,,,
University Center of Aflou,,,,,,,,,,,,,,,,,
Liaquat University of Medical & Health Sciences,,,,,,,,,,,,,,,,,
University of Southern Caribbean,,,,,,,,,,,,,,,,,
"Griffith University, Office for Research",,,,,,,,,,,,,,,,,
Saitama University,,,,,,,,,,,,,,,,,
Universita' degli Studi dell'Aquila,,,,,,,,,,,,,,,,,
Jabir ibn Hayyan Medical University,,,,,,,,,,,,,,,,,
Warsaw University of Technology,,,,,,,,,,,,,,,,,
Tilburg School of Economics & Management,,,,,,,,,,,,,,,,,
International Relations Office,,,,,,,,,,,,,,,,,
Galatasaray University,,,,,,,,,,,,,,,,,
"ENSCM, Chimie Montpellier",,,,,,,,,,,,,,,,,
Technische Universität Dresden,,,,,,,,,,,,,,,,,
Daejin University,,,,,,,,,,,,,,,,,
Alliance Manchester Business School,3+,36+,1350+,98+,90+,6.5+,28+,550+,76+,,,,,,176+,,
O.M.Beketov National University of Urban Economy,,,,,,,,,,,,,,,,,
Karakalpak State University,,,,,,,,,,,56+,,,,,,
Aarhus School of Architecture ,,,,,,,,,,,,,,,,,
The Sapir Academic College,,,,,,,,,,,,,,,,,
Beijing University of Technology,,,,,,,,,,,,,,,,,
Hochschule Vechta,,,,,,,,,,,,,,,,,
King Mongkut's University of Technology Thonburi ,,,,,,,,,,,,,,,,,
"Faculty Of Health Sciences, Western University",,,,,105+,6.5+,,,,,,,,,,,
Maryville College,,,,,,,,,,,,,,,,,
LABA Valencia,,,,,,,,,,,,,,,,,
"University of Education, Lahore",,,,,,,,,,,60+,2.5+,,495+,,,
Central Saint Martins,,24+,1020+,,,6+,,,,,,2+,,,,,
HEC Paris MBA,,,,,,,,,,,,,,,,,
Qingdao Technological University Qindao College,,,,,,,,,,,,,,,,,
University of Calgary,3+,,,,86+,6+,,,,,,,,,,,
INSA Business School,,,,,,,,,,,,,,,,,
California Institute of Technology (Caltech),3+,,1520+,,110+,,,,,329+,,,,,,,
NUS Business School,,,,,100+,7+,,,,,,,,,,,
"INSEEC MBA Institute, Paris International Business School",,,,,,,,,,,,,,,,,
Odesa State Agrarian University,,,,,,,,,,,,,,,,,
University College Ghent,,,,,,,,,,,,,,,,,
Politeknik Negeri Jakarta,,,,,,,,,,,,,,,,,
The University of Lahore,,,,,,,,,,,,,,,,,
Poznan School of Banking,,,,,,,,,,,,,,,,,
Karaganda Buketov University,,,,,,,,,,,,,,,,,
Università degli studi Guglielmo Marconi,,,,,,,,,,,,,,,,,
The College of Management - Academic Studies,,,,,,,,,,,,,,,,,
Ahmet Yesevi Üniversitesi,,,,,,,,,,,,,,,,,
CUNY College of Staten Island,,,,,,,,,,,,,,,,,
Atatürk Üniversitesi,,,,,,,,,,,,,,,,,
MDI Gurgaon,,,,,,,,,,,,,,,,,
Kyushu Institute of Technology ,,,,,,,,,,,,,,,,,
Universidad de Ibagué,,,,,,,,,,,,,,,,,
Southeast University,,,,,,,,,,,,,,,,,
Architectural Association School of Architecture,,,,,,,,,,,,,,,,,
"University of Economics in Bratislava, Slovakia",,,,,,,,,,,,,,,,,
University of Michigan-Flint,,,,,,,,,,,,,,,,,
Paris School of Economics ,,,,,,,,,,,,,,,,,
Khoja Akhmet Yassawi International Kazakh-Turkish University,,,,,,,,,,,,,,,,,
University of Richmond,,,,,,,,,,,,,,,,,
Riphah International University,,,,,,,,,,,,,,,,,
Doshisha - Graduate school of Business,,,,,,,,,,,,,,,,,
University of Joensuu,,,,,,,,,,,,,,,,,
Indian Institute of Management (IIM) - Shillong,,,,,,,,,,,,,,,,,
RAMAIAH MEDICAL COLLEGE (RMC),,,,,,,,,,,,,,,,,
Universidad Nacional del Nordeste (UNNE),,,,,,,,,,,,,,,,,
Rushford Business School,,,,,,,,,,,,,,,,,
International School of Management (ISM),,,,,80+,6+,,,,,,,,,,,
"Université Paris-Dauphine, Université PSL",,,,,,,,,,,,,,,,,
Westminster International University in Tashkent,,,,,,,,,,,,,,,,,
Universidad Tecnológica de Panamá (UTP),,,,,,,,,,,,,,,,,
Universidade Estadual da Paraíba,,,,,,,,,,,,,,,,,
Dar Al Uloom University,,,,,,,,,,,,,,,,,
Kwangju Women`s University ,,,,,,,,,,,,,,,,,
Masagung Graduate School of Management,3+,,,,65+,6+,,,,,,,,,,,
"University of Economics in Bratislava, Slovakia",,,,,,,,,,,,,,,,,
University of Illinois at Chicago (UIC),+,,1030+,,80+,6+,,500+,,,,,,,,,
Universit internationale de Rabat,,,,,,,,,,,14+,,,,,,
Banzarov Buryat State University,,,,,,,,,,,,,,,,,
Toyo University ,,,,,,,,,,,,,,,,,
University of Zalingei,,,,,,,,,,,,,,,,,
Yunnan University,,,,,,,,,,,,,,,,,
Lynchburg College,,,,,,,,,,,,,,,,,
University of Palermo,,,,,,,,,,,,,,,,,
University of Gent,,,,,,,,,,,,,,,,,
"Hindustan Institute of Technology and Science, Chennai",,,,,,,,,,,,,,,,,
University of Economics - Varna,,,,,,,,,,,,,,,,,
Universidade Federal de Itajubá,,,,,,,,,,,,,,,,,
Marymount University,3+,,1049+,,79+,6+,,,,,,,,,,,
University College Plymouth St Mark & St John,,,,,,,,,,,,,,,,,
Fachhochschule Aachen,,,,,,,,,,,,,,,,,
"Manipal Academy of Higher Education, Manipal, Karnataka, India",,,,,,,,,,,,,,,,,
Philipps-Universität Marburg ,,,,,,,,,,,,,,,,,
Zayed University,,27+,,,45+,4+,,,,,,2+,,,,,
Universidad Nacional de Lanús (UNLa),,,,,,,,,,,,,,,,,
Universidad Privada Dr. Rafael Belloso Chacín,,,,,,,,,,,,,,,,,
University of Belize,,,,,,,,,,,,,,,,,
International University of Monaco,,,,,,,,,,,,,,,,,
Universidad Tecnológica de Bolívar,,,,,,,,,,,,,,,,,
Central China Normal University,,,,,,,,,,,,,,,,,
Capella University,,,,,,,,,,,,,,,,,
National United University,,,,,,,,,,,,,,,,,
Al Baha University,,,,,,,,,,,,,,,,,
Université Paris-Saclay,2+,30+,,,61+,5+,,,,,,,,,,,
Kuban State Agrarian University,,,,,,,,,,,,,,,,,
Jinan University (China),,,,,,,,,,,,,,,,,
Universidad Tecnológica Privada de Santa Cruz (UTEPSA),,,,,,,,,,,,,,,,,
"INSEEC MBA Institute, Paris International Business School",,,,,,,,,,,,,,,,,
Salahaddin University-Erbil,,,,,,,,,,,,,,,,,
British-Kazakh University,,,,,,,,,,,,,,,,,
Bentley University,3+,,,,90+,7+,,,,,,,,,,,
École Nationale d'Ingénieurs ENIM Metz,,,,,,,,,,,,,,,,,
Rectorate,,,,,,,,,,,,,,,,,
International Medical University,,,,,,,,,,,,,,,,,
Heinrich Heine University Duesseldorf,,,,,,,,,,,,,,,,,
"Royal Academy of Art, The Hague (KABK)",,,,,,,,,,,,,,,,,
Indian Institute of Technology Roorkee (IITR),,,,,,,,,,,,,,,,,
Universidad UNIACC,,,,,,,,,,,,,,,,,
Alverno College,,,,,,,,,,,,,,,,,
Norwegian University of Life Sciences,,,,,,,,,,,,,,,,,
Université Mohamed Cherif Mesaadia - Souk Ahras,,10+,,,,,,,,,,10+,,10+,,,
Lebanese Canadian University Lebanon,,,,,,,,,,,,,,,,,
Bielefeld University,,,,,,,,,,,,,,,,,
TELECOM Saint-Etienne,,,,,,,,,,,,,,,,,
WMG - Warwick Manufacturing Group,,,,,,,,,,,,,,,,,
"Sam Higginbottom Institute of Agriculture, Technology & Sciences",,,,,,,,,,,,,,,,,
University of St. Gallen MBA,,,,,,,,,,,,,,,,,
Full Sail University,,,,,,,,,,,,,,,,,
École Nationale Supérieure d'Ingénieurs de Caen (ENSICAEN),,,,,,,,,,,,,,,,,
Aalto Executive Education Academy,,,,,,,,,,,,,,,,,
Australian Catholic University,,,,58+,78+,6+,,,,,,,,,,155+,
University of Tennessee - Knoxville,,,,,,,,,,,,,,,,,
Stefan cel Mare University of Suceava,,,,,,,,,,,,,,,,,
Gatton College of Business and Economics,,,,,,,,,,,,,,,,,
Bundelkhand University,,,,,,,,,,,,,,,,,
Aleksandras Stulginskis University (Lithuanian University of Agriculture),,,,,,,,,,,,,,,,,
Western Governors University Tennessee,,,,,,,,,,,,,,,,,
Interregional Open Social Institute,,,,,,,,,,,,,,,,,
University of South Dakota - Beacom School of Business,,,,,,,,,,,,,,,,,
Institut Catholique de Toulouse (ICT),,,,,,,,,,,,,,,,,
Jadara University,,,,,,,,,,,,,,,,,
The Academy of Public Administration under the President of Kazakhstan,,,,,,,,,,,,,,,,,
Beijing Normal University ,,,,,,,,,,,,,,,,,
"Gonzaga University: Rankings, Fees & Courses Details | Top Universities",3+,,,,,,,,,,,,,,,,
Center for International Development,,,,,,,,,,,,,,,,,
Conservatoire national supérieur de musique et de danse de Paris (CNSMDP),,,,,,,,,,,,,,,,,
Petra Christian University,,,,,,,,,,,,,,,,,
Universitas Negeri Surabaya,,,,,,,,,,,,,,,,,
The University of Tokyo,,,,,,,,,,,,,,,,,
École Nationale de la Statistique et de l'Analyse de l'Information (ENSAI),,,,,,,,,,,,,,,,,
CENTRUM Catolica,,,,,,,,,,,,,,,,,
"University of Missouri, Columbia",2+,,920+,,79+,6+,,+,,+,,,,,,,
Pontifícia Universidade Católica de São Paulo,,,,,,,,,,,,,,,,,
University of Pittsburgh-Bradford,,,,,,,,,,,,,,,,,
Olabisi Onabanjo University,,,,,,,,,,,,,,,,,
Lebanese University,,,,,,,,,,,,,,,,,
Information Networking Institute,,,,,,,,,,,,,,,,,
DeVry University Kansas City,,,,,,,,,,,,,,,,,
Tel Aviv University,,,,,,,,,,,,,,,,,
Bursa Technical University,,,,,,,,,,,,35+,,,,,
Fergana Polytechnic Institute,,,,,,,,,,,55+,,,,,,
Lankaran State University,250+,,,,,,,,,,10+,65+,,,,,
Ben-Gurion University of The Negev,,,,,,,,,,,,,,,,,
Universidad Nacional de Entre Rios,,,,,,,,,,,,,,,,,
State University of Management,,,,,,,,,,,,,,,,,
Brno University of Technology,,,,,,,,,,,,,,,,,
Universidad Nacional Autónoma de Honduras (UNAH),,,,,,,,,,,,,,,,,
Universidad Nacional de Mar del Plata,,,,,,,,,,,,,,,,,
Universitas Muhammadiyah Surabaya,,,,,,,,,,,,,,,,,
"Gonzaga University: Rankings, Fees & Courses Details | Top Universities",3+,,,,,,,,,,,,,,,,
"Ss. Cyril and Methodius University in Skopje, Republic of North Macedonia",,,,,,,,,,,,,,,,,
Universität  Leipzig,,,,,,,,,,,,,,,,,
Qingdao Technological University Qindao College,,,,,,,,,,,,,,,,,
The University of Swabi,,,,,,,,,,,,,,,,,
Royal Roads University,,,,,,,,,,,,,,,,,
University of Lodz,,,,,,,,,,,,,,,,,
Universidad Olmeca,,,,,,,,,,,,,,,,,
University College of Kalmar,,,,,,,,,,,,,,,,,
Southeastern University,,,,,,,,,,,,,,,,,
Faculty of Business and Economics - Monash University,,,,,,,,,,,,,,,,,
Sarsen Amanzholov East Kazakhstan University,,,,,,,,,,,,,,,,,
Universidad Privada Dr. Rafael Belloso Chacín,,,,,,,,,,,,,,,,,
"Faculty of Business, Government & Law",,,,,,,,,,,,,,,,,
NHL Stenden University of Applied Sciences,,,,,,,,,,,,,,,,,
Brigham Young University ,,,,,,,,,,,,,,,,,
Mercer University,,,,,,,,,,,,,,,,,
École Nationale Supérieure de Physique de Strasbourg (ENSPS),,,,,,,,,,,,,,,,,
Studialis,,,,,,,,,,,,,,,,,
Loughborough University London,,,,,,,,,,,,,,,,,
"ENSCM, Chimie Montpellier",,,,,,,,,,,,,,,,,
Universidad de Las Américas Ecuador,,,,,,,,,,,,,,,,,
Goldey-Beacom College,,,,,,,,,,,,,,,,,
University of Macedonia,,,,,,,,,,,,,,,,,
Lehigh University,,,,,90+,7+,,,,,,,,,,,
Osgoode Hall Law School International LLM Program,,,,,,,,,,,,,,,,,
School of Engineering,,,,,,,,,,,,,,,,,
DeVry University Pomona,,,,,,,,,,,,,,,,,
Nara Women's University,,,,,,,,,,,,,,,,,
Toyota Technological Institute,,,,,,,,,,,,,,,,,
Washington State University,,,,,,,,,,,,,,,,,
Namangan State University,,,,,,,,,,,56+,,,,,,
Universia Perú,,,,,,,,,,,,,,,,,
Analysis Institute of Management,,,,,,,,,,,,,,,,,
"Hochschule für Technik, Wirtschaft und Kultur Leipzig",,,,,,,,,,,,,,,,,
Transylvania University,,,,,,,,,,,,,,,,,
Silesian University in Opava,,,,,,,,,,,,,,,,,
University of Nebrija,,,,,,,,,,,,,,,,,
Morrisville State College (SUNY),,,,,,,,,,,,,,,,,
Universidade do Estado de Santa Catarina,,,,,,,,,,,,,,,,,
Universidad de Magallanes,,,,,,,,,,,,,,,,,
Hamad bin Khalifa University,,,,,,,,,,,,,,,,,
Universidad Autónoma de Asunción (UAA),2+,24+,,,,,,,,,60+,,,,,,
Suliman S. Olayan School of Business,,,,,,,,,,,,,,,,,
Oldham College,,,,,,,,,,,,,,,,,
Harbin Engineering University,,,,,,,,,,,,,,,,,
National Technical University of Athens,,,,,,,,,,,,,,,,,
Barbri International,,,,,,,,,,,,,,,,,
Ukrainian State University of Chemical Technology,,,,,,,,,,,100+,,,,,,
Fachhochschule Salzburg,,,,,,,,,,,,,,,,,
Port Said University,,,,,,,,,,,,,,,,,
University of Business Innovation and Sustainability (UBIS),,,,,,,,,,,,,,,,,
Misr International University,,,,,,,,,,,,,,,,,
Innopolis University ,,,,,,,,,,,,,,,,,
Damietta University,,,,,300+,,,,,,,,,,,,
Kindai University (Kinki University),,,,,,,,,,,,,,,,,
Shenzhen University,,,,,,,,,,,,,,,,,
S P Jain School of Global Management,,,,,,,,,,,,,,,,,
Wyższa Szkoła Biznesu – National Louis University,,,,,,,,,,,,,,,,,
Tilburg School of Economics & Management,,,,,,,,,,,,,,,,,
Russian State University of Innovative Technologies and Entrepreneurship (RGUITP),,,,,,,,,,,,,,,,,
University of Texas at San Antonio,,,,,,,,,,,,,,,,,
Technische Universität Dresden,,,,,,,,,,,,,,,,,
Universidad del Distrito Federal (UDF),,,,,,,,,,,,,,,,,
Claflin University,,,,,,,,,,,,,,,,,
University North Croatia,,,,,,,,,,,,,,,,,
Graduate School of Business,,,,,,,,,,,,,,,,,
Kansai University ,,,,,,,,,,,,,,,,,
Kazakh National Academy of Music,,,,,,,,,,,,,,,,,
University of Texas Dallas,3+,,1210+,,80+,6+,,600+,,310+,,,,,,,
Palangka Raya University,,,,,,,,,,,,,,,,,
Kogakuin University of Technology and Engineering,,,,,,,,,,,,,,,,,
La Trobe University,3+,33+,1100+,60+,64+,6+,21+,590+,50+,300+,,,,,169+,,
EDC Paris Business School,,,,,,,,,,,,,,,,,
University of Economics in Katowice,,,,,,,,,,,,,,,,,
Tata Institute of Fundamental Research,,,,,,,,,,,,,,,,,
Universidad Cooperativa de Colombia,,,,,,,,,,,,,,,,,
Catholic University of Pusan,,,,,,,,,,,,,,,,,
Hofstra University,,,,,,,,,,,,,,,,,
Niigata University,,,,,,,,,,,,,,,,,
Faculty of Human Sciences - Universidade Catolica Portuguesa,,,,,,,,,,,,,,,,,
Kyoto Women's University,,,,,,,,,,,,,,,,,
Dumlupinar Üniversitesi,,,,,,,,,,,,,,,,,
Sunchon National University ,,,,,,,,,,,,,,,,,
Bar-Ilan University,,,,,,,550+,,,,,,,,,,
Universidad Nacional de La Plata (UNLP),,,,,,,,,,,,,,,,,
Anadolu University,,,,,,,,,,,,2+,,,,,
UNIVERSITY OF GDANSK,,,,,,,,,,,,,,,,,
"University of California, Davis",3+,,1260+,,80+,7+,,620+,,,,,,,,,
National University of Kaohsiung,,,,,,,,,,,,,,,,,
Universidade Federal de Santa Maria,,,,,,,,,,,,,,,,,
Rheinische Friedrich-Wilhelms-Universität Bonn,,,,,,,,,,,,,,,,,
Universidad de Las Américas Ecuador,,,,,,,,,,,,,,,,,
Università degli Studi della Tuscia (University of Tuscia),,,,,,,,,,,,,,,,,
Ukrainian National Forestry University,,,,,,,,,,,,,,,,,
Universidad Panamericana (UP),,,,,,,,,,,,,,,,,
Teesside University Business School,2+,,1290+,,,6+,,,,,,,,,,,
Bard College,,,,,,,,,,,,,,,,,
Balikesir Üniversitesi,,,,,,,,,,,,,,,,,
Nanjing Normal University,,,,,,,,,,,,,,,,,
Universita' degli Studi Suor Orsola Benincasa,,,,,,,,,,,,,,,,,
Fudan University,,,,,,,,,,,,,,,,,
Volgograd State University,,,,,,,,,,,,,,,,,
Hochschule für Künste Bremen,,,,,,,,,,,,,,,,,
D’Amore-McKim School of Business,3+,,1370+,,,,,627+,,,,,,,,,
Royal Roads University,,,,,,,,,,,,,,,,,
University of Guam,,,,,,,,,,,,,,,,,
Université of Jijel - Mohammed Seddik BENYAHIA,,,,,,,,,,,,,,,,,
National Taipei University of Nursing and Health Sciences,,,,,,,,,,,,,,,,,
Southern Utah University,,,,,,,,,,,,,,,,,
DCT International Hotel & Business Management School,,,,,,,,,,,,,,,,,
Chitkara University,,,,,,,,,,,,,,,,,
University of Missouri Saint Louis,,,,,,,,,,,,,,,,,
Nizhny Novgorod State Technical University n.a. R.E. Alekseev,,,,,,,,,,,,,,,,,
Universidad Nacional de Educación a Distancia,,5+,,,,,,,,,,,,,,,
Indonesia Institute of the Arts Yogyakarta,,,,,,,,,,,,,,,,,
INTERNATIONAL COLLEGE OF MUSIC,,,,,,,,,,,,,,,,,
University of St. Thomas - Houston,,,,,,,,,,,,,,,,,
University College of Applied Sciences Gaza,,,,,,,,,,,,,,,,,
Amsterdam University College (AUC),,,,,,,,,,,,,,,,,
Universiti Teknologi PETRONAS (UTP),2+,24+,,,61+,5+,,,,,,,,,,,
Dania Danish Academy of Business and Technology ,,,,,,,,,,,,,,,,,
Voronezh State Technical University,,,,,,,,,,,,,,,,,
Indian Institute of Management (IIM) - Ahmedabad,,,,,,,,,,,,,,,,,
Supélec,,,,,,,,,,,,,,,,,
Saint Joseph University of Beirut (USJ) ,,,,,,,,,,,,,,,,,
Universiti Teknologi Brunei,,,,,,,,,,,,,180+,,,,
Morgan State University,,,,,,,,,,,,,,,,,
University of Namur,,,,,,,,,,,,,,,,,
Institut Supérieur de l'Aéronautique et de l'Espace (ISAE),,,,,,,,,,,,,,,,,
Hamilton College,,,,,,,,,,,,,,,,,
National Film School of Denmark,,,,,,,,,,,,,,,,,
Fort Lewis College,,,,,,,,,,,,,,,,,
Banasthali Vidyapith,,,,,,,,,,,,,,,,,
West Kazakhstan Marat Ospanov Medical University,,,,,,,,,,,70+,,,,,,
Universidad Catolica de Avila 'Santa Teresa de Jesus,,,,,,,,,,,,,,,,,
Kansai Gaidai University,,,,,,,,,,,,,,,,,
BEM Bordeaux Management School,,,,,,,,,,,,,,,,,
University of Belgrade,,,,,,,,,,,,,,,,,
Guru Ghasidas Vishwavidyalaya (A Central University),,,,,,,,,,,40+,,,,,,
Business School Lausanne,,,,,80+,6+,,,,,,,,,,,
BRAC University,,,,,,,,,,,,,,,,,
Dhurakij Pundit University,,,,,,,,,,,,,,,,,
Aden University,,,,,,,,,,,,,,,,,
University of St Thomas,,,,,,,,,,,,,,,,,
Zhejiang University School of Management,,,,,,,,,,,,,,,,,
Kazan National Research Technical University named after A.N.Tupolev-KAI,,,,,,,,,,,,,,,,,
Harbin Cambridge University,,,,,,,,,,,,,,,,,
University of Chichester,3+,,1100+,,87+,6+,,,,,,,,,,,
University of Surabaya,,,,,,,,,,,,,,,,,
Diplomatic Academy of Vienna,,,,,,,,,,,,,,,,,
Shanghai University – MBA and Management Education Center,,,,,,,,,,,,,,,,,
Brigham Young University ,,,,,,,,,,,,,,,,,
Orel State University named after I.S. Turgenev,,,,,,,200+,,,,,,,,,,
Western Carolina University,,,,,,,,,,,,,,,,,
Trinity College Dublin,,,,,,,,,,,,,,,,,
Kalamazoo College,,,,,,,,,,,,,,,,,
Gunma Prefectural Women's University,,,,,,,,,,,,,,,,,
Musashino University,,,,,,,,,,,,,,,,,
Université Paris-Est Créteil Val de Marne,,,,,,,,,,,,,,,,,
Inter College Business School,,,,,,,,,,,,,,,,,
Korea University,,,,,,,,,,,,,,,,,
Claremont Graduate University,,,,,,,,,,,,,,,,,
Ambassador Crawford College of Business and Entrepreneurship,3+,,1090+,,76+,6+,,,,,,,,,,,
Szechenyi Istvan University (University of Gyor),,,,,,,,,,,,,,,,,
Universidad Autónoma de San Luis de Potosí,,,,,,,,,,,,,,,,,
Izmir Ekonomi Universitesi / Izmir University of Economics,60+,26+,1000+,,84+,,21+,500+,71+,153+,,60+,60+,,,,
Leeds Art University,,,,,,,,,,,,,,,,,
Incheon National University,,,,,,,,,,,,,,,,,
Kenyatta University,,,,,,,,,,,,,,,,,
ISBM - International School of Business Management,,,,,,,,,,,,,,,,,
University of Notre Dame,+,,1410+,,100+,7+,,690+,,,,,,,,,
IHTTI School of Hotel Management,,,,,,,,,,,,,,,,,
University of Tehran,,,,,,,,,,,,,,,,,
Sarah Lawrence University,,,,,,,,,,,,,,,,,
Analysis Institute of Management,,,,,,,,,,,,,,,,,
Udmurt State University,,,,,,,,,,,,,,,,,
Université Catholique de L,,,,,,,,,,,,,,,,,
Technische Universität Dresden,,,,,,,,,,,,,,,,,
Mansoura University,,,,,,,,,,,,,,,,,
Universite Catholique de Lille,,,,,80+,6+,,,54+,,,,,,,,
Universidad de Quintana Roo,,,,,,,,,,,,,,,,,
Suez University,,,,,,,,,,,,,,,,,
ESIEE Engineering,,,,,,,,,,,,,,,,,
UCI Paul Merage School of Business,3+,,1190+,,,,,610+,,298+,,,,,,,
Urmia University,,,,,,,,,,,,,,,,,
Linnaeus University Sweden,,,,,,,,,,,,,,,,,
Osaka City University,,,,,,,,,,,,,,,,,
University of Illinois at Urbana-Champaign,3+,,1270+,,102+,7+,,647+,,+,,,,,,,
University of Tampa,,,,,,,,,,,,,,,,,
Sulaiman Al Rajhi University,,,,,,,,,,,,,,,,,
Dong-A University ,,,,,,,,,,,,,,,,,
"University of Maryland, Baltimore",,,,,,,,,,,,,,,,,
Tomsk State Pedagogical University,,,,,,,,,,,,,,,,,
Full Sail University,,,,,,,,,,,,,,,,,
Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),,,,,,,,,,,,,,,,,
SUNY Cobleskill,,,,,,,,,,,,,,,,,
Pitirim Sorokin Syktyvkar State University,,,,,,,,,,,,,,,,,
Prince Mohammad University,,,,,,,,,,,,,,,,,
Shahid Chamran University of Ahvaz,,,,,,,,,,,,,,,,,
TUM School of Management,,,,,88+,6.5+,,,,,,1+,,,,,
"Siberian Federal University, SibFU",,,,,,,,,,,,,,,,,
La Sierra University,,,,,,,,,,,,,,,,,
University of Kentucky,2+,,1175+,,71+,6+,,591+,,306+,,,,,,,
Department of Computer Science,,,,,,,,,,,,,,,,,
TELECOM Saint-Etienne,,,,,,,,,,,,,,,,,
"University of Science & Technology, Yemen",,,,,,,,,,,,,,,,,
University of Baghdad,,,,,,,,,,,,,,,,,
Institut National des Sciences Appliquées de Strasbourg (INSA),,,,,,,,,,,,,,,,,
SUNY Canton,,,,,,,,,,,,,,,,,
