University,GRE,IELTS,TOEFL,SAT,GMAT,GPA,ATAR,International Baccalaureate,Bachelor GPA,Own admission test,PTE Academic,A-levels,Year 12 scores,AP,ACT
Gwynedd Mercy University,,,,,,,,,,,,,,,
Gulf College,,,,,,,,,,,,,,,
University of the District of Columbia,,,,,,,,,,,,,,,
ESDEN Business School,,,,,,,,,,,,,,,
Ural Institute of Presidential Academy,,,,,,,,,,,,,,,
Kaywon School of Arts & Design,,,,,,,,,,,,,,,
International University of Monaco,,,,,,,,,,,,,,,
UniLaSalle,,,,,,,,,,,,,,,
Southern Technical University,,,,,,,,,60+,,,,,,
Accademia Belle Arti Roma,,,,,,,,,,,,,,,
Regis University,,,,,,,,,,,,,,,
Sewanee-The University of the South,,,,,,,,,,,,,,,
Princess Sumaya University for Technology,,,,,,,,,,,,,,,
Universidad Rey Juan Carlos,,5.5+,72+,,,2.5+,,27+,,,59+,,,,
Study in Holland - The Netherlands Institute in Athens,,,,,,,,,,,,,,,
Siam University,,,,,,,,,,,,,,,
Hansung University Seoul ,,,,,,,,,,,,,,,
Instituto Tecnológico de Buenos Aires (ITBA),,,,,,,,,,,,,,,
Purchase College SUNY,,,,,,,,,,,,,,,
TU Wien – Continuing Education Center,,,,,,,,,,,,,,,
University of Illinois at Chicago (UIC),,6+,80+,1030+,500+,+,,,,,,,,,
Shah Abdul Latif University,,,,,,,,,,,,,,,
"Deakin University, Office of the Vice-Chancellor",,,,,,,,,,,,,,,
University of Okara,,,,,,,,,,,,,,,
Pasundan University,,,,,,,,,,,,,,,
Nelson Mandela University,,,,,,,,,,,,,,,
University of Wisconsin - La Crosse,,,,,,,,,,,,,,,
The University of Southern Queensland - School of Management and Enterprise,,,,,,,,,,,,,,,
Haute école spécialisée de Suisse occidentale,,,,,,,,,,,,,,,
College of Engineering,,,,,,,,,,,,,,,
Abu Dhabi School of Management (ADSM),,,,,,,,,,,,,,,
PSG College of Technology,,,,,,,,,,,,,,,
Zeppelin University,,,,,,,,,,,,,,,
"ENSCBP, Bordeaux",,,,,,,,,,,,,,,
Northern Kentucky University,,,,,,,,,,,,,,,
Euler-Franeker Memorial University,,,,,,,,,,,,,,,
Yeshiva University,,,82+,1180+,,3+,,,,,,,,,
"École Supérieure de Commerce, ESC Saint-Etienne",,,,,,,,,,,,,,,
Wellesley College,,,,,,,,,,,,,,,
Dr B R Ambedkar National Institute of Technology Jalandhar,,,,,,,,,,,,,,,
Dalian University of Technology,,,,,,,,,,,,,,,
SMU – School of Computing and Information Systems,,,,,,,,,,,,,,,
Guru Gobind Singh Indraprastha University,,,,,,,,,,,,,,,
Kazan (Volga region) Federal University,,6+,79+,,,2+,,24+,,,,,,,
The University of Texas at Arlington College of Business,,,,1130+,500+,2+,,,,,,,,,
ESA Ecole Superieure des Affaires,,,,,,,,,,,,,,,
Universidad de Concepción,,,,,,,,,,,,,,,
Client_Test_700,,,,,,,,,,,,,,,
Universidad de Medellín,,,,,,,,,,,,,,,
University of East Anglia (UEA),,6+,79+,,580+,2+,,,,,,,,,
University of Cassino and Southern Lazio,,,,,,,,,,,,,,,
All Hallows College,,,,,,,,,,,,,,,
Eastern Michigan University,,,,,,,,,,,,,,,
American University of Culture and Education (AUCE),,,,,,,,,2+,,,,,,
Dubai Pharmacy College,,,,,,,,,,,,,,,
ISCTE-IUL,,,,,,,,,,,,,,,
Norwegian University of Life Sciences,,,,,,,,,,,,,,,
Université de Monastir,,,,,,,,,,,,,,,
University College of Kalmar,,,,,,,,,,,,,,,
Université de Nouakchott,,,,,,,,,,,,,,,
The University of Manchester,,6+,80+,1290+,,2+,,,,,,,,,
Indiana Wesleyan University,,,,,,,,,,,,,,,
Higher School of Economics,,5+,60+,,,,,4+,,0+,,,,,
Universidad Autónoma de Asunción (UAA),,,,,,2+,,24+,,60+,,,,,
Université Stendhal Grenoble 3,,,,,,,,,,,,,,,
Euler-Franeker Memorial University,,,,,,,,,,,,,,,
Guizhou University,,,,,,,,,,,,,,,
Pepperdine University School of Public Policy,,,,,,,,,,,,,,,
New England College of Business and Finance,,,,,,,,,,,,,,,
K. N. Toosi University of Technology,,,,,,,,,,,,,,,
Rhodes College,,,,,,,,,,,,,,,
University of York,,6.5+,87+,1200+,580+,2.8+,85+,,,,,,,,
École Nationale d'Ingénieurs ENIM Metz,,,,,,,,,,,,,,,
University of Colombo,,,,,,,,,,,,,,,
University of Cincinnati,,6+,66+,,,3+,,,,,,,,,
Hochschule für Technik Stuttgart,,,,,,,,,,,,,,,
National Chung Cheng University,,,,,,,,,,,,,,,
Penza State University,,,,,,,,,,,,,,,
Université Paris-Nanterre,,,,,,,,,,,,,,,
Nawroz University,,,,,,,,,,,,,,,
University of Turin,,,,,,,,,,,,,,,
"University of Birmingham, University of Birmingham Law School",,,,,,,,,,,,,,,
University of Banja Luka,,,,,,,,,,,,,,,
Penn State - World Campus,,,,,,,,,,,,,,,
Jordan University of Science & Technology,,,,,,,,,,,,,,,
IEB,,,,,,,,,,,,,,,
Kazakh Ablai Khan University of International Relations and World Languages,,,,,,,,,,,,,,,
Amsterdam Tech,,,,,,,,,,,,,,,
Max M. Fisher College of Business,,,,,,3+,,,,,,,,,
Fergana Polytechnic Institute,,,,,,,,,,55+,,,,,
School of Law,,,,,,,,,,,,,,,
Tambov State Technical University,,,,,,,,,,,,,,,
Kenan-Flagler Business School,,,,,,,,,,,,,,,
Barcelona Technology School,,,,,,,,,,,,,,,
State institution “South Ukrainian National Pedagogical University named after K. D. Ushynsky” (Ushynsky University),,,,,,,,,100+,,,100+,,,
Atatürk Üniversitesi,,,,,,,,,,,,,,,
Bilkent University,,,,,,,,,,,,,,,
École d'Ingénieurs CESI (ei.cesi),,,,,,,,,,,,,,,
Universität Stuttgart,,,,,,,,,,,,,,,
Universidad Catolica Boliviana San Pablo,,,,,,,,,,,,,,,
Sukkur IBA University,,,,,,,,,,,,,,,
West Ukrainian National University,,,,,,100+,,,60+,,,,,,
Accademia Nazionale di Santa Cecilia,,,,,,,,,,,,,,,
Goa University,,,,,,,,,,,,,,,
Holy Spirit University of Kaslik ,,,,,,,,,,,,,,,
Yonsei University,,,,,,,,,,,,,,,
Brock University ,,,,,,,,,,,,,,,
Instituto Tecnológico de Buenos Aires (ITBA),,,,,,,,,,,,,,,
Pontificia Universidad Catolica del Peru,,,,,,2+,,24+,,,,,,,
INSEEC École de Commerce Européene,,,,,,,,,,,,,,,
The Hague University,,,,,,,,,,,,,,,
Luhansk Taras Shevchenko National University ,,,,,,,,,,,,,,,
Swiss School of Business and Management (SSBM Geneva),,,,,,,,,,,,,,,
Riphah International University,,,,,,,,,,,,,,,
ESCUELA SUPERIOR DE IMAGEN Y SONIDO CES,,,,,,,,,,,,,,,
Indian Institute of Management (IIM) - Calcutta,,,,,,,,,,,,,,,
RCSI University of Medicine and Health Sciences,,,,,,,,,,,,,,,
Dalian University of Technology,,,,,,,,,,,,,,,
Nanjing Normal University,,,,,,,,,,,,,,,
University of Sri Jayawardenapura ,,,,,,,,,,,,,,,
Hangzhou Normal University,,,,,,,,,,,,,,,
American University of Armenia,,,,,,,,,,,,,,,
The Moscow State Academy of Choreography,,,,,,,,,,,,,,,
School of Human Sciences,,,,,,,,,,,,,,,
McMaster University,,6+,86+,,600+,2+,,,,,,,,,
University of Music and Performing Arts Vienna  ,,,,,,,,,,,,,,,
CUNY Lehman College,,,,,,,,,,,,,,,
Medical University of Gdańsk,,,,,,,,,,,,,,,
Baku Eurasian University,,,,,,,,,,,,,,,
P.G. Demidov Yaroslavl State University,,,,,,,,,,,,,,,
Stanford Graduate School of Business,,,,,,3+,,,,,,,,,
University of Luton,,,,,,,,,,,,,,,
Universidade do Vale do Itajaí (UNIVALI),,,,,,,,,,,,,,,
Mogadishu University,,,,,,,,,,,,,,,
"G.B. Pant University of Agriculture and Technology, Pantnagar",,,,,,,,,,,,,,,
Architectural Association School of Architecture,,,,,,,,,,,,,,,
Thomas University,,,,,,,,,,,,,,,
University POLITEHNICA of Bucharest,,,,,,,,,,,,,,,
South Carolina State University,,,,,,,,,,,,,,,
Ulyanovsk State University,,,,,,120+,,,,40+,,,,,
University of Tulsa,,6+,70+,1280+,530+,3+,,,,,,,,,
"Ecole Supérieure de la Création Numérique, E-ART Sup",,,,,,,,,,,,,,,
Aydın Adnan Menderes Üniversitesi,,,,,,,,,,,,,,,
Curtis Institute of Music,,,,,,,,,,,,,,,
"Ecole normale supérieure, Paris",,,,,,,,,,,,,,,
INTO University Partnership,,6.5+,,,,3.8+,,,3.8+,,,,,,
Goethe Business School,,,,,,,,,,,,,,,
Hochschule für Künste Bremen,,,,,,,,,,,,,,,
Hamline University,,,,,,,,,,,,,,,
Ranchi University,,,,,,,,,,,,,,,
Webster University,,,,,,,,,,,,,,,
Montana Tech,,,,,,,,,,,,,,,
İstanbul Medipol University,,,,,,,,,,,,,,,
British University Vietnam,,6+,,,,,,,,,,,,,
Indian Institute of Technology Kharagpur (IIT-KGP),,,,,,,,,,,,,,,
Lithuanian University of Health Sciences,,,,,,,,,,,,,,,
Lankaran State University,,,,,,250+,,,65+,10+,,,,,
Gould School of Law,,,,,,,,,,,,,,,
FIA Business School,,,,,,,,,,,,,,,
Great Zimbabwe University,,,,,,,,,,,,,,,
Vitebsk State University named after P.M. Masherov,,,,,,,,,,,,,,,
Universit degli Studi della Campania Luigi Vanvitelli,,,,,,,,,,,,,,,
"University of California, Hastings College of Law",,,,,,,,,,,,,,,
University of Electronic Science and Technology of China,,,,,,,,,,,,,,,
The Continents States University,,,,,,,,,,,,,,,
American University in Dubai,,,,,,,,,,,,,,,
The University of Warwick,,6+,87+,660+,,3+,94+,,,,,,,,
Business Administration Division,,,,,,,,,,,,,,,
University of Oregon,,7+,88+,1174+,588+,3+,,,,,,,,,
University of Patras,,,,,,,,,,,,,,,
Satbayev University,,,,,,,,,,,,,,,
Saint Petersburg Electrotechnical University ETU-LETI,,,,,,,,,,,,,,,
Alexandria University ,,,,,,,,,,,,,,,
University of St. Gallen MBA,,,,,,,,,,,,,,,
University of Bahrain - College of Business,,,,,,,,,,,,,,,
Sang Ji University ,,,,,,,,,,,,,,,
HAS University of Applied Sciences,,,,,,,,,,,,,,,
Strathclyde Business School,,6+,,,,,,,,,,,,,
University of the People,,,,,,,,,,,,,,,
Royal Agricultural University School of Business,,6+,,1200+,580+,2+,,,,,,,,,
Pázmány Péter Catholic University,,,,,,,,,,,,,,,
Quest University ,,,,,,,,,,,,,,,
Université d'Oran 2 - Mohamed Ben Ahmed,,,,,,,,,,,,,,,
ANU College of Business and Economics,,,,1050+,600+,3+,86+,,,,,,,,
Pontifícia Universidade Católica do Paraná,,,,,,,,,,,,,,,
Karl-Franzens-Universitaet Graz,,,,,,,,,,,,,,,
Universidad de las Fuerzas Armadas ESPE (Ex - Escuela Politécnica del Ejército),,,,,,,,,,,,,,,
Universidade Federal de Campina Grande,,,,,,,,,,,,,,,
Istanbul Sabahattin Zaim University,,,,,,,,,,,,,,,
Indian Institute of Foreign Trade,,,,,,,,,,,,,,,
Universidad de Ibagué,,,,,,,,,,,,,,,
School of Business,,,,,,,,,,,,,,,
The Gnesins Russian Academy of Music,,,,,,,,,,,,,,,
Luther College,,,,,,,,,,,,,,,
EPOKA University,,,,,,,,,,,,,,,
Indian Institute of Technology Bhubaneswar,,,,,,,,,,,,,,,
University of Murcia,,,,,,,,,,,,,,,
Buckingham Business School,,,,,,,,,,,,,,,
John von Neumann University,,,,,,,,,,,,,,,
Vasile Goldis Western University of Arad,,,,,,,,,,,,,,,
UNIVERSITAS MEDAN AREA,,,,,,,,,,,,,,,
Dubna International University,,,,,,,,,,,,,,,
The University of Texas at Austin - McCombs School of Business,303+,6+,79+,1150+,580+,3+,,,,,,,,,
Creighton University,,,,,,,,,,,,,,,
Kozminski University,,,,,,,,,,,,,,,
Ahmet Yesevi Üniversitesi,,,,,,,,,,,,,,,
Universidad del Istmo - UDELISTMO,,,,,,,,,,,,,,,
ParisTech,,,,,,,,,,,,,,,
Volga state academy of water transport,,,,,,,,,,,,,,,
Siberian State Academy of Geodesy,,,,,,,,,,,,,,,
Julius-Maximilians-Universität Würzburg,,,,,,,,,,,,,,,
Universidade Federal do Rio de Janeiro,,,,,,,,,,,,,,,
Universidade do Estado do Pará,,,,,,,,,,,,,,,
Ecole nationale supérieure des arts visuels de La Cambre,,,,,,,,,,,,,,,
University of the West of Scotland,,6+,78+,1100+,580+,3+,,,,,,,,,
Universidad Francisco Gavidia,,,,,,,,,,,,,,,
Yamaguchi University ,,,,,,,,,,,,,,,
University of Okara,,,,,,,,,,,,,,,
Södertörns University College,,,,,,,,,,,,,,,
Vladimir State University named after Alexander and Nikolay Stoletovs,,,,,,,,,,,,,,,
Russian Presidential Academy of National Economy and Public Administration,,,,,,,,,,,,,,,
Clarkson's David D. Reh School of Business,,,,,,,,,,,,,,,
Moldova State University,,,,,,,,,,,,,,,
DeVry University Georgia,,,,,,,,,,,,,,,
Senghor University ,,,,,,,,,,,,,,,
Indonesia Institute of the Arts Surakarta,,,,,,,,,,,,,,,
Ural Federal University - UrFU,,6+,87+,,,2+,,24+,,,,,,,
College of Charleston,,,,,,,,,,,,,,,
"Academy of Fine Arts, University of the Arts Helsinki",,,,,,,,,,,,,,,
Università degli Studi di Perugia,,,,,,,,,,,,,,,
Eskisehir Technical University,,,,,,,,,2+,150+,,,,,
Novosibirsk State University of Architecture and Civil Engineering (Sibstrin),,,,,,,,,,,,,,,
EUROPEAN LAW AND GOVERNANCE SCHOOL,,,,,,,,,,,,,,,
The University of Southern Queensland - School of Management and Enterprise,,,,,,,,,,,,,,,
University College Cork,,,,,,,,,,,,,,,
American University of Science and Technology,,7+,,870+,,2.5+,,24+,3.2+,,,,60+,70+,33+
Norwich University of the Arts,,,,,,,,,,,,,,,
University of Vienna,,,,,,,,,,,,,,,
International Islamic Academy of Uzbekistan,,,,,,,,,,,,,,,
International Christian University,,,,,,,,,,,,,,,
"King Edward Medical University, Lahore. ",,,,,,,,,,,,,,,
Altınbaş University,,,,,,,,,,,,,,,
University of the Ryukyus,,,,,,,,,,,,,,,
Ternopil Ivan Puluj National Technical University,,,,,,,,,,,,,,,
University of Peloponnese,,,,,,,,,,,,,,,
Medical University of Gdańsk,,,,,,,,,,,,,,,
cole des Mines de Nancy,,,,,,,,,,,,,,,
Lawrence University,,,,,,,,,,,,,,,
Da Yeh University,,,,,,,,,,,,,,,
Huazhong Agricultural University,,,,,,,,,,,,,,,
Ufa State Petroleum Technological University,,,,,,,,,,150+,,,,,
Arab American University,,,,,,,,,,,,,,,
Webster University - Leiden,,,,,,,,,,,,,,,
Marmara University,,,,,,,,,,,,,,,
Kanagawa University,,,,,,,,,,,,,,,
School of Economics and management,,,,,,,,,,,,,,,
University of Minnesota Twin Cities,,6+,79+,1220+,690+,+,,,,,,,,,
University of Sopron,,,,,,,,,,,,,,,
Universidad Francisco Gavidia,,,,,,,,,,,,,,,
Film and Television Institute of India,,,,,,,,,,,,,,,
Youngsan University,,,,,,,,,,,,,,,
Chubu University,,,,,,,,,,,,,,,
Jyväskylä University of Applied Sciences ,,,,,,,,,,,,,,,
Xavier University of Louisiana,,,,,,,,,,,,,,,
Graduate School of Economics and Management,,,,,,,,,,,,,,,
Yeditepe University,,,,,,,,,,,,,,,
Namangan State University,,,,,,,,,,56+,,,,,
Rostov State Transport University,,,,,,,,,,,,,,,
Missouri University of Science and Technology,297+,6+,79+,,550+,3+,,,,,,,,,
Ural State Mining University,,,,,,,,,,,,,,,
HTMi Hotel and Tourism Management Institute Switzerland,,,,,,,,,,,,,,,
KAIST College of Business,,6.5+,83+,,,,,,,,,,,,
Lally School of Management,302+,,,,600+,3+,,,,,,,,,
Graduate School of Business Administration Zurich,,,,,,,,,,,,,,,
Universiti Kuala Lumpur (UniKL),,,,,,,,,,,,,,,
2U University Partnerships,,,,,,,,,,,,,,,
Academy of Fine Arts,,,,,,,,,,,,,,,
George Washington University School of Business,,,,1300+,570+,3+,,,,,,,,,
Howard University,,6+,90+,1220+,537+,3+,,,,,,,,,
Polytechnic University of the Philippines ,,,,,,,,,,,,,,,
Universidad del Sagrado Corazón,,,,,,,,,,,,,,,
