University,Bachelor GPA,TOEFL,Own admission test,International Baccalaureate,GMAT,GPA,SAT,IELTS,PTE Academic,Cambridge CAE Advanced,Year 12 scores,LSAT,GRE,STAT,ATAR,ACT,AP,A-levels
Islamic Azad University,,,,,,,,,,,,,,,,,,
Sun Moon University,,550+,60+,,,,,5.5+,,,,,,,,,,
Tokushima University,,,,,,,,,,,,,,,,,,
Williams College,,,,,,,,,,,,,,,,,,
University of Vaasa,,580+,,,,3+,,6.5+,62+,9999+,,,,,,,,
John Paul II Catholic University of Lublin,,,,,,,,,,,,,,,,,,
Brock University ,,,,,,,,,,,,,,,,,,
Université d'Orléans,,,,,,,,,,,,,,,,,,
Hanoi National University of Education,,,,,,,,,,,,,,,,,,
Universidade Federal do Triângulo Mineiro,,,,,,,,,,,,,,,,,,
"Escuela de Postgrado de las Facultades de Ingeniería, Economía y Empresa",,,,,,,,,,,,,,,,,,
"Chaudhary Charan Singh University, Meerut",55+,,,,,,,,,,50+,,,,,,,
Central Mindanao University ,,,,,,,,,,,,,,,,,,
Católica Porto Business School,,,95+,,,,,,,,,,,,,,,
Russian New University RosNOU,,,,,,,,,,,,,,,,,,
Universiti Sultan Zainal Abidin,,,,,,,,,,,,,,,,,,
University of Mobile,,,,,,,,,,,,,,,,,,
Yerevan State University,,,,,,,,,,,,,,,,,,
University of Central Florida,,80+,,,560+,3+,1328+,6+,,,,,,,,,,
Universiti Malaysia Perlis,,,,,,,,,,,,,,,,,,
University of St.Gallen (HSG),,100+,,,680+,,,5.5+,,,,,,,,,,
Université Montpellier 1,,,,,,,,,,,,,,,,,,
Nove de Julho University - UNINOVE,,,,,,,,,,,,,,,,,,
Marymount Manhattan College,,,,,,,,,,,,,,,,,,
The John Marshall Law School,,,,,,,,,,,,,,,,,,
New York University (NYU),,100+,,,660+,3+,1290+,7+,,,,,,,,,,
Batterjee Medical College,,,,,,,,,,,,,,,,,,
Indian Institute of Technology Madras (IITM),,,,,,,,,,,,,,,,,,
Bergen University College,,,,,,,,,,,,,,,,,,
Shanghai Maritime University,,,,,,,,,,,,,,,,,,
Tarlac State University,,,,,,,,,,,,30+,,,,,,
Athabasca University,,,,,,,,,,,,,,,,,,
Escuela Colombiana de Ingeniería Julio Garavito ,,,,,,,,,,,,,,,,,,
Universidad Central del Ecuador,,,,,,,,,,,,,,,,,,
Universidad Nacional de Lujan,,,,,,,,,,,,,,,,,,
Mahidol University,,,,,,,,,,,,,,,,,,
Foothill College,,,,,,,,,,,,,,,,,,
İstanbul Medipol University,,,,,,,,,,,,,,,,,,
École Nationale Supérieure d'Agronomie et des Industries Alimentaires (ENSAIA),,,,,,,,,,,,,,,,,,
Berry College,,,,,,,,,,,,,,,,,,
GC University Faisalabad,,,,,,,,,,,,,,,,,,
University of Miami,,80+,,,550+,+,1320+,6+,,,,,,,,,,
Semmelweis University,,,,,,,,,,,,,,,,,,
Christian-Albrechts-University zu Kiel,,,,,,,,,,,,,,,,,,
South Mediterranean University,,,,,,,,,,,,,,,,,,
University of Cassino and Southern Lazio,,,,,,,,,,,,,,,,,,
Université d'Oran 2 - Mohamed Ben Ahmed,,,,,,,,,,,,,,,,,,
Universitas Negeri Surabaya,,,,,,,,,,,,,,,,,,
Bahauddin Zakariya University ,,,,,,,,,,,,,,,,,,
Khazar University,,,,,,,,,,,,,,,,,,
Universidade Federal do Rio Grande ,,,,,,,,,,,,,,,,,,
Universidade Federal do Estado do Rio de Janeiro,,,,,,,,,,,,,,,,,,
Northwest Samar State University,,,80+,,,,,,,,,,,,,,,
University of Aden,,,,,,,,,,,,,,,,,,
University of Applied Sciences of Southern Switzerland,,,,,,,,,,,,,,,,,,
"Babson College, F.W. Olin Graduate School of Business",,100+,,,,3+,,7+,65+,,,,,,,,,
Kyoto University,,,,,,,,,,,,,,,,,,
University of Witwatersrand,,100+,,27+,,2+,,7+,,185+,,,,,,,,
Muscat college,,,,,,,,,,,,,,,,,,
University of the Algarve,,,,,,,,,,,,,,,,,,
Masagung Graduate School of Management,,65+,,,,3+,,6+,,,,,,,,,,
Institut national des langues et civilisations orientales,,,10+,25+,,,,,,,,,,,,,,
"University at Buffalo School of Management, The State University of New York",,,,,,,,,,,,,,,,,,
University of Bialystok,,,,,,,,,,,,,,,,,,
Ecole d'ingénieurs de Purpan,,,,,,,,,,,,,,,,,,
Saint-Petersburg State Forest Technical University named after S.M. Kirova,,,,,,,,,,,,,,,,,,
Vilnius Academy of Fine Art,,,,,,,,,,,,,,,,,,
Miami Ad School,,,,,,,,,,,,,,,,,,
Conservatoire for Dance and Drama (CDD),,,,,,,,,,,,,,,,,,
China University of Geosciences,,,,,,,,,,,,,,,,,,
Instituto Nacional de Matemática Pura e Aplicada (IMPA),,,,,,,,,,,,,,,,,,
Indian School of Business,,,,,,,,,,,,,,,,,,
Oslo National Academy of the Arts,,,,,,,,,,,,,,,,,,
Chechen State Pedagogical University (Russia),,,,,,,,,,,,,,,,,,
XLRI Xavier School of Management,,,0+,,,,,,,,,,,,,,,
Universidad Panamericana de Guatemala,,,,,,,,,,,,,,,,,,
"Pontifícia Universidade Católica do Rio Grande do Sul, PUCRS",,,,,,,,,,,,,,,,,,
Jyväskylä University of Applied Sciences ,,,,,,,,,,,,,,,,,,
Kazakh National University of Arts,,,,,,,,,,,,,,,,,,
Teesside University,,,,,,3+,1290+,5+,,,,,,,,,,
International Hotel School,,,,,,,,,,,,,,,,,,
Al-Nisour Unversity College,2+,,,,,,,,,,,,,,,,,
"Eller College of Management, University of Arizona ",,,,,510+,2+,1260+,,,,,,315+,,,,,
Damietta University,,300+,,,,,,,,,,,,,,,,
University of Latvia,,,,,,,,,,,,,,,,,,
2U University Partnerships,,,,,,,,,,,,,,,,,,
Loei Rajabhat University,,,,,,,,,,,,,,,,,,
University of Miami,,80+,,,550+,+,1320+,6+,,,,,,,,,,
"Covenant University, Nigeria",,,,,,,,,,,,,,,,,,
Universidad Hispanoamericana- Escuela de Posgrados,,,,,,,,,,,,,,,,,,
Florida Gulf Coast University,,,,,,,,,,,,,,,,,,
Far Eastern Federal University,,,,,,,,,,,,,,,,,,
Universidad Francisco De Vitoria,,,,,,,,,,,,,,,,,,
Aydın Adnan Menderes Üniversitesi,,,,,,,,,,,,,,,,,,
Webster Vienna Private University,,,,,,,,,,,,,,,,,,
Kazan State Power Engineering University,,,195+,,,,,,,,,,,,,,,
University of Haifa,,,,,,,,,,,,,,,,,,
Medical University of Gdańsk,,,,,,,,,,,,,,,,,,
Yamagata University ,,,,,,,,,,,,,,,,,,
Saint Joseph's University (Philadelphia),,,,,,,,,,,,,,,,,,
Djilali Liabes University of Sidi Bel Abbes,,,,,,,,,,,,,,,,,,
Chukyo University,,,,,,,,,,,,,,,,,,
Universidad de San Andrés,,,,,,,,,,,,,,,,,,
Azusa Pacific University,,,,,,,,,,,,,,,,,,
University of Agronomic Sciences and Veterinary Medicine of Bucharest,,,,,,,,,,,,,,,,,,
Wagner College,,,,,,,,,,,,,,,,,,
Siberian State University of Telecommunications and Information Sciences,,,,,,,,,,,,,,,,,,
MIT School of Film & Television,,,,,,,,,,,,,,,,,,
Brandeis University,,100+,,,610+,3+,1300+,7+,,,,,,,,,,
Ivey Business School,,,,,,,,,,,,,,,,,,
Southwestern University,,,,,,,,,,,,,,,,,,
Saint-Petersburg State University of Economics,,,,,,,,,,,,,,,,,,
"Sardar Patel University, Vallabh Vidyanagar",,,,,,,,,,,,,,,,,,
Universidad Autónoma del Estado de México (UAEMex),,,,,,,,,,,,,,,,,,
University of Ioannina,,,,,,,,,,,,,,,,,,
DONETSK NATIONAL MEDICAL UNIVERSITY,,,,,,,,,,,,,,,,,,
Universidad Vasco de Quiroga (UVAQ),,,,,,,,,,,,,,,,,,
"Haskayne School of Business, University of Calgary ",3+,86+,,30+,550+,,,6+,,,,,,,,,,
Jawaharlal Nehru Centre for Advanced Scientific Research,,,,,,,,,,,,,,,,,,
Universidad Nacional Autónoma de Honduras (UNAH),,,,,,,,,,,,,,,,,,
Verona University,,72+,,,,,,6+,,,,,,,,,,
Universidade Presbiteriana Mackenzie,,,,,,,,,,,,,,,,,,
Universidad Villa Rica,,,,,,,,,,,,,,,,,,
Universidad Del Quindío ,,,,,,,,,,,,,,,,,,
Infrastructure University Kuala Lumpur,,,,,,,,,,,,,,,,,,
Stevens Institute of Technology,,80+,,,,3+,1320+,6+,,,,,,,,,,
National Kaohsiung University of Science and Technology (NKUST),,,,,,,,,,,,,,,,,,
Kaposvár University,,,,,,,,,,,,,,,,,,
Robert Day School of Economics and Finance,,,,,,,,,,,,,,,,,,
Ho Chi Minh City Open University,,,10.7+,,,,,,,,18+,,,,,,,
Université La Sagesse,,,,,,,,,,,,,,,,,,
Lincoln University - California,,,,,,,,,,,,,,,,,,
International Christian University,,,,,,,,,,,,,,,,,,
National Taipei University of Nursing and Health Sciences,,,,,,,,,,,,,,,,,,
Université de La Rochelle,,,,,,,,,,,,,,,,,,
University of South Africa,,,,,,,,,,,,,,,,,,
Escuela Politécnica Nacional,,,,,,,,,,,,,,,,,,
University of British Columbia,,90+,,,650+,3+,,6+,,,,,320+,,,,,
New Mexico State University,,,,,,,,,,,,,,,,,,
UCL Global Business School for Health,,,,,,,,,,,,,,,,,,
Université Laval,,,,,710+,3+,,,,,,,,,,,,
European University Institute,,,,,,,,,,,,,,,,,,
"Université d'Auvergne, Clermont-Ferrand 1",,,,,,,,,,,,,,,,,,
École Normale Supérieure de Lyon,,,,,,,,,,,,,,,,,,
Bradley University,,,,,,,,,,,,,,,,,,
Suratthani Rajabhat University,,450+,,,,2+,,4+,,,,,,,,,,
Forman Christian College (A Chartered University),,,,,,,,,,,,,,,,,,
Universidad ESAN,,,,,,,,,,,,,,,,,,
Charles Sturt University ,,60+,,,,3+,,6+,,,,,,144+,65+,,,
MODUL University Dubai,,,,,,,,,,,,,,,,,,
Robert Day School of Economics and Finance,,,,,,,,,,,,,,,,,,
University of Colombo,,,,,,,,,,,,,,,,,,
Indian Institute of Management (IIM) - Indore,,,,,,,,,,,,,,,,,,
American University of Culture and Education (AUCE),2+,,,,,,,,,,,,,,,,,
College of Contemporary Liberal Studies,,,,,,,,,,,,,,,,,,
Institut Catholique de Paris,,,,,,,,,,,,,,,,,,
London College of Fashion,,,,,,,,,,,,,,,,,,
University of Aveiro,,,,,,,,,,,,,,,,,,
"Indian Statistical Institute, Kolkata",,,,,,,,,,,,,,,,,,
Universidad Autónoma de Coahuila (UAdeC),8+,500+,,,,,,,,,,,,,,,,
The ,,,,,,,,,,,,,,,,,,
CUNY Queens College,,,,,,,,,,,,,,,,,,
Universidad Autónoma Gabriel Rene Moreno,,,,,,,,,,,,,,,,,,
Mohammad Ali Jinnah University,,,,,,,,,,,,,,,,,,
Bauhaus-Universität Weimar,,,,,,,,,,,,,,,,,,
Neapolis University Pafos,,,,,,,,,,,,,,,,,,
Eurasia International University,,,,,,,,,,,,,,,,,,
University of Toronto - Institute for Management & Innovation,,,,,,,,,,,,,,,,,,
Harran University,,,,,,,,,,,,,,,,,,
University of Lapland,,,,,,,,,,,,,,,,,,
Université Claude Bernard Lyon 1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Connecticut College,,,,,,,,,,,,,,,,,,
Indiana State University,,,,,,,,,,,,,,,,,,
Technische Universität Ilmenau,,,,,,,,,,,,,,,,,,
Karakoram International University,,,,,,,,,,,,,,,,,,
Tokyo University of Foreign Studies,,,,,,,,,,,,,,,,,,
Busan University of Foreign Studies,,,,,,,,,,,,,,,,,,
Northern Kentucky University,,,,,,,,,,,,,,,,,,
Universidade Estadual de Roraima ,,,,,,,,,,,,,,,,,,
Air University Pakistan,,,,,,,,,,,,,,,,,,
SUNY Brockport,,,,,,,,,,,,,,,,,,
Universidad de Piura,,,,,,,,,,,,,,,,,,
"Politehnica University Timisoara, UPT",,,6+,,,,,,,,,,,,,,,
"École Nationale Supérieure d'Architecture (ENSA), Nancy",,,,,,,,,,,,,,,,,,
La Fémis,,,,,,,,,,,,,,,,,,
Saint Michael's College,,,,,,,,,,,,,,,,,,
Lipetsk State Technical University,,,,,,,,,,,,,,,,,,
Intercultural Management and Communication Institute,,,,,,,,,,,,,,,,,,
Saxion University of Applied Sciences,,,,,,,,,,,,,,,,,,
University of Malta,,,,,,,,,,,,,,,,,,
RUDN University,,79+,,24+,,2+,,5.5+,,,,,,,,,,
Instituto Universitario de Ciencias de la Salud. Fundación H. A. Barceló,,,,,,,,,,,,,,,,,,
Hitotsubashi University,,,,,,,,,,,,,,,,,,
Vitebsk State Technological University,,,4+,,,,,,,,,,,,,7+,,
"IAE Business School, Universidad Austral",,,,,,,,,,,,,,,,,,
The University of Warwick,,87+,,,,3+,660+,6+,,,,,,,94+,,,
Non-profit joint-stock company Shakarim University,2+,,,,,,,,,,9+,,,,,,,
Tokyo Metropolitan University,,,,,,,,,,,,,,,,,,
SUNY New Paltz,,,,,,,,,,,,,,,,,,
EADA - Business School Barcelona,,100+,,,650+,,,6+,,,,,,,,,,
"Süleyman Demirel University, Turkey",,,,,,,,,,,,,,,,,,
Universidad Alfonso X el Sabio,,,,,,,,,,,,,,,,,,
Shahrood University of Technology,,,,,,,,,,,,,,,,,,
Universidade Católica Portuguesa,,,,,,,,,,,,,,,,,,
Universidad Nacional de Ingeniería (UNI) - Nicaragua,,,,,,,,,,,,,,,,,,
INSEEC SupSocial,,,,,,,,,,,,,,,,,,
Santa Clara University,,,,,,,,,,,,,,,,,,
Villa College,,,,,,,,,,,,,,,,,,
École Normale Supérieure de Lyon,,,,,,,,,,,,,,,,,,
University Mohamed Boudiaf of M'Sila,,,,,,,,,,,,,,,,,,
EOI  Escuela de Negocios,,,,,,,,,,,,,,,,,,
Firat Üniversitesi,,50+,,,,,,,,,,,,,,,,
Olin Business School,,,,,640+,4+,1470+,,,,,,315+,,,,,
Parahyangan Catholic University,,,,,,,,,,,,,,,,,,
Universitas Darussalam Gontor,,,,,,,,,,,,,,,,,,
Universidad Nacional Autónoma de Honduras (UNAH),,,,,,,,,,,,,,,,,,
Universidad Diego Portales (UDP),,,,,,,,,,,,,,,,,,
Ukrainian State University of Chemical Technology,,,100+,,,,,,,,,,,,,,,
DePauw University,,,,,,,,,,,,,,,,,,
University of Calicut,,,,,,,,,,,,,,,,,,
Université de La Rochelle,,,,,,,,,,,,,,,,,,
Universidade Federal do Rio de Janeiro,,,,,,,,,,,,,,,,,,
Universidad Europea del Atlántico,,,,,,,,,,,,,,,,,,
Universidad del Magdalena,,,,,,,,,,,,,,,,,,
National University of the Patagonia San Juan Bosco,,,,,,,,,,,,,,,,,,
École des Hautes Études en Santé Publique (EHESP),,,,,,,,,,,,,,,,,,
JSS Academy of Higher Education & Research,,,,,,,,,,,,,,,,,,
"National Institute of Pharmaceutical Education and Research, Hyderabad",,,90+,,,,,,,,,,,,,,,
University of Abertay Dundee,,,,,,,,,,,,,,,,,,
Antwerp Management School,,79+,,27+,550+,2+,,6+,,,,,,,,,,
Fachhochschule Worms,,,,,,,,,,,,,,,,,,
Chirchik State Pedagogical University,,,,,,,,,,,,,,,,,,
Universidade Federal de Mato Grosso do Sul,,,,,,,,,,,,,,,,,,
Hochschule Reutlingen,,,,,,,,,,,,,,,,,,
Université de Monastir,,,,,,,,,,,,,,,,,,
Wofford College,,,,,,,,,,,,,,,,,,
"Jawaharlal Nehru Technological University  Anantapur, Ananthapuramu",,,,,,,,,,,,,,,,,,
University of Biskra,,,,10+,,,,,,,,,,,,,,
Warwick Business School,,87+,,,,3+,660+,6+,,,,,,,94+,,,
Universidad Católica de Honduras,,,,,,,,,,,,,,,,,,
Cedar Crest College,,,,,,,,,,,,,,,,,,
Liszt Ferenc Academy of Music,,,,,,,,,,,,,,,,,,
Prince of Songkla University,,,,,,,,,,,,,,,,,,
INSEAD,,103+,,,,,,7+,70+,,,,,,,,,
Instituto Tecnológico Autónomo de México (ITAM),,,,,,,,,,,,,,,,,,
Umea University,,,,,,,,,,,,,,,,,,
Tokushima University,,,,,,,,,,,,,,,,,,
LASALLE College of the Arts,,,,,,,,,,,,,,,,,,
Lebanese Canadian University Lebanon,,,,,,,,,,,,,,,,,,
Mahasarakham University,,,,,,,,,,,,,,,,,,
Sojo University,,,,,,,,,,,,,,,,,,
"American University, School of International Service",,,,,,,,,,,,,,,,,,
Universitas Pembangunan Panca Budi,,,,,,,,,,,,,,,,,,
Kazan National Research Technical University named after A.N.Tupolev-KAI,,,,,,,,,,,,,,,,,,
University of Pittsburgh-Greensburg,,,,,,,,,,,,,,,,,,
United States International University,,,,,,,,,,,,,,,,,,
Oral Roberts University,,,,,,,,,,,,,,,,,,
Indonesian Institute of Arts Denpasar,,,,,,,,,,,,,,,,,,
Czech College ,,,,,,,,,,,,,,,,,,
Universiti Sains Malaysia (USM),,,,,,,,,,,,,,,,,,
Naveen Jindal School of Management,,80+,,,678+,2+,1170+,6+,,,,,313+,,,,,
"University of Economics Ho Chi Minh City, Viet Nam",,,,,,,,,,,,,,,,,,
"Rotterdam School of Management, Erasmus University",3+,80+,,30+,600+,3+,1200+,6+,,180+,,,300+,,85+,31+,,
Loei Rajabhat University,,,,,,,,,,,,,,,,,,
Pontificia Universidad Javeriana,,,,,,,,,,,,,,,,,,
"Escuela de Postgrado de las Facultades de Ingeniería, Economía y Empresa",,,,,,,,,,,,,,,,,,
Universitat Rovira i Virgili,,,,,,,,,,,,,,,,,,
Verona University,,72+,,,,,,6+,,,,,,,,,,
Bryn Mawr College,,,,,,,,,,,,,,,,,,
University of Eastern Finland,,,,,,,,,,,,,,,,,,
Kochi University,,,,,,,,,,,,,,,,,,
INSEAD Singapore,,,,,,,,,,,,,,,,,,
Higher Colleges of Technology,,,,,,,,,,,,,,,,,,
Chernihiv Polytechnic National University,,,,,,,,,,,,,,,,,,
Kimyo International University in Tashkent,,59+,20+,,500+,,800+,5.5+,,,,,150+,,,,,
University of Nigeria Nsukka,,,,,,,,,,,,,,,,,,
"G.B. Pant University of Agriculture and Technology, Pantnagar",,,,,,,,,,,,,,,,,,
King Mongkut's University of Technology North Bangkok,,,,,,,,,,,,,,,,,,
Universidad Tecnológica Centroamericana (UNITEC),,,,,,,,,,,,,,,,,,
Haute école de musique de Genève,,,,,,,,,,,,,,,,,,
Voronezh State University of Engineering Technologies,,,,,,,,,,,,,,,,,,
Antioch University Los Angeles,,,,,,,,,,,,,,,,,,
Sri Sri University,,,40+,,,,,,,,,,,,,,,
University of Hawaii at West O‘ahu,,,,,,,,,,,,,,,,,,
University of Salerno,,,,,,,,,,,,,,,,,,
CheongJu University ,,,,,,,,,,,,,,,,,,
"University of Wales, Newport",,,,,,,,,,,,,,,,,,
"The University of Tennessee, Knoxville",,,,,,,,,,,,,,,,,,
Binghamton University SUNY,,80+,,,670+,,1310+,6.5+,,,,,,,,,,
Hawler Medical University,94+,,,,,,,,,,,,,,,,,
SMU – School of Computing and Information Systems,,,,,,,,,,,,,,,,,,
University of Central Lancashire,,80+,,,,3+,1050+,6+,,,,,,,,,,
University of Cundinamarca,,,,,,,,,,,,,,,,,,
James Madison University,,81+,,,470+,3+,1180+,6+,,,,,,,,,,
University of Ha'il,,,,,,,,,,,,,,,,,,
Universidad Internacional SEK,,,,,,,,,,,,,,,,,,
LABA Valencia,,,,,,,,,,,,,,,,,,
Zhytomyr Ivan Franko State University,,,,,,,,,,,,,,,,,,
DigiPen Institute of Technology Singapore,,,,,,,,,,,,,,,,,,
Rutgers University–Newark,,79+,,,,,550+,6+,,,,,,,,21+,,
Université Pierre Mendès France - Grenoble 2,,,,,,,,,,,,,,,,,,
University of Denver,,80+,,,,3+,1180+,6+,,,,,307+,,,,,
Stevens Institute of Technology,,80+,,,,3+,1320+,6+,,,,,,,,,,
"Swiss School of Management - Rome, Italy",,,,,,,,,,,,,,,,,,
Drake University,,,,,,,,,,,,,,,,,,
Samar State University,,,,,,,,,,,,,,,,,,
"ITESO, Universidad Jesuita de Guadalajara",,,1000+,,,,,,,,,,,,,,,
Institute of Management Business and Law,,,,,,,,,,,,,,,,,,
ESCE – Ecole Superieure de Commerce Exterieur,,,,,,,,,,,,,,,,,,
Azerbaijan Tourism and Management University,,,200+,,,,,,,,,,,,,,,
Sohag University,,500+,,,,,,6.5+,,,280+,,,,,,,
Carleton College,,,,,,,,,,,,,,,,,,
Philipps-Universität Marburg ,,,,,,,,,,,,,,,,,,
Universidad Nacional de General Sarmiento (UNGS),,,,,,,,,,,,,,,,,,
SUAN SUNANDHA RAJABHAT UNIVERSITY,,,,,,,,,,,,,,,,,,
The Sapir Academic College,,,,,,,,,,,,,,,,,,
Zabaikalsky State University,,,,,,,,,,,,,,,,,,
"Monash Business School, Monash University ",,,,,600+,,1120+,,,,,,,,70+,,,
The College of Saint Rose,,,,,,,,,,,,,,,,,,
University of Florence,,,,,,,,,,,,,,,,,,
Tishk International University,,,,,,,,,,,,,,,,,,
Institut Teknologi Nasional Bandung (ITENAS Bandung),,,,,,,,,,,,,,,,,,
University of Warmia and Mazury in Olsztyn,,,,,,,,,,,,,,,,,,
The National University of Ostroh Academy ,,,,,,,,,,,,,,,,,,
The American University in Cairo,,48+,,24+,500+,,950+,5+,,154+,,,,,,20+,4+,
The Catholic University of Korea ,,,,,,,,,,,,,,,,,,
Catania University,,,,,,,,,,,,,,,,,,
Veeramata Jijabai Technological Institute,,,,,,,,,,,,,,,,,,
Helsinki Education and Research Area (HERA),,,,,,,,,,,,,,,,,,
Tohoku University,,,,,,,,,,,,,,,,,,
Lebanese American University,,,,,,,,,,,,,,,,,,
École Nationale Supérieure de Géologie (ENSG),,,,,,,,,,,,,,,,,,
ESIEE Paris,,65+,,,,,,5+,,,,,,,,,,
Ecole Supérieure des Affaires,,,,,,,,,,,,,,,,,,
Colégio Mayor de Antioquia,,,,,,,,,,,,,,,,,,
Universitas Muhammadiyah Prof. Dr. Hamka ,,,,,,,,,,,,,,,,,,
Nantes Université,,,,,,,,,,,,,,,,,,
Flagler College-St Augustine,,,,,,,,,,,,,,,,,,
"Karnatak University, Dharwad",,,,,,,,,,,,,,,,,,
Kuban State Agrarian University,,,,,,,,,,,,,,,,,,
Southwestern Law School,,,,,,,,,,,,,,,,,,
Universidad de Antofagasta,,,,,,,,,,,,,,,,,,
EPITECH - Paris Graduate School of Digital Innovation,,,,,,,,,,,,,,,,,,
Lincoln University - California,,,,,,,,,,,,,,,,,,
Université Tunis Carthage,,,,,,,,,,,,,,,,,,
Universidad del CEMA,,,,,,,,,,,,,,,,,,
National Institute of Technology Silchar,,,,,,,,,,,,,,,,,,
Seinan Gakuin University,,,,,,,,,,,,,,,,,,
Pontificia Universidad Javeriana,,,,,,,,,,,,,,,,,,
Manhattan College,,,,,,,,,,,,,,,,,,
Kemerovo State University,,,,,,,,,,,,,,,,,,
Universidad Politécnica de Madrid (UPM),,,,,,,,,,,,,,,,,,
Nagasaki Junshin Catholic University,,,,,,,,,,,,,,,,,,
Universidad Antonio Narino ,,,,,,,,,,,,,,,,,,
Universidad de Los Andes - (ULA) Mérida,,,,,,,,,,,,,,,,,,
University of Mazandaran,,,,,,,,,,,,,,,,,,
Ivanovo State Power Engineering University named after V.I. Lenin (ISPU),,,,,,,,,,,,,,,,,,
Globe Business College Munich,,,,,,,,,,,,,,,,,,
Universidad Interamericana de Panamá ,,,,,,,,,,,,,,,,,,
Carl von Ossietzky Universität Oldenburg,,,,,,,,,,,,,,,,,,
Kazan State Power Engineering University,,,195+,,,,,,,,,,,,,,,
